,Flat Name,Flat address,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Configurations,Project Area
67,The Nest Nest Heritage,"5th Main Road, BHEL Nagar, Near Medavakkam Koot Road Junction, Medavakkam, Chennai south, Chennai","May, 2020",5.75 K/sq.ft,750.00 sq.ft. - 1355.00 sq.ft.,1 Building - 14 units,"May, 2019","Looking for Apartment in Medavakkam, Chennai?. The Nest Nest Heritage is a project by The Nest Builder. The project is offering 2 BHK, 3 BHK. The Nest Nest Heritage is a Ready to Move residential project. There are 14 units. There is 1 building in this project. As per the area plan, units are in the size range of 750.0 - 1355.0 sq.ft.. The Nest Nest Heritage is located in 5th Main Road, BHEL Nagar, Near Medavakkam Koot Road Junction, Medavakkam. The Nest Nest Heritage was launched in May 2019.The Nest Nest Heritage offers a host of facilities for residents. This includes Power Backup. These amenities in The Nest Nest Heritage are those that every homebuyer aspires for!.RERA ID is RERA Applied.The Nest Nest Heritage is RERA-compliant and all necessary approvals are in place.The Nest Builder is a reputed building firm with 40 projects since its inception in 2008.Medavakkam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/9d55daeb0bf8389f491c2c29e51b18be/v0/_p/the_nest_nest_heritage-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/9d55daeb0bf8389f491c2c29e51b18be/v0/large/the_nest_nest_heritage-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-2.housingcdn.com/012c1500/03a50c6e96fea8a6ff1734c138a48a6a/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/34dc92dadfc2d584d3722c8dd36b9752/v0/_p.jpeg']","2, 3 BHK Apartments",
68,Casa Grand Zenith Phase II,"Mambakkam Main Road, Sithalapakkam, Krishnaveni Nagar, Medavakkam, Chennai south, Chennai","Mar, 2022",Price on request,1360.00 sq.ft. - 1799.00 sq.ft.,1 Building - 417 units,"Jun, 2020","The best gift you can give yourself and your loved ones is good health. Casagrand Zenith, 2, 3 And 4 BHK apartments in Medavakkam, is a home created with your wellness in mind. These apartments are at the perfect distance from everything, with over 75 amenities designed to ensure you and your family are in perfect health. Experience the best of life in a home that truly cares about your well-being.","['https://is1-2.housingcdn.com/4f2250e8/8dc44b978cad8c67c42be9e5404e461d/v0/_p/casa_grand_zenith_phase_ii-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/8dc44b978cad8c67c42be9e5404e461d/v0/large/casa_grand_zenith_phase_ii-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/D0V8IS-sSpQ/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/191832fe7ec2017e29ec9df3ea04a6b1/v0/_p.jpg']",3 BHK Apartment,
69,Navins Starwood Towers,"Mambakkam Main Road, Sithalapakkam Post, Vengaivasal, Chennai south, Chennai",Ready to Move,5.75 K/sq.ft,1469.00 sq.ft. - 1484.00 sq.ft.,5 Buildings - 216 units,"Nov, 2012","Navin’s proudly presents Starwood Towers, a fully equipped residential condominium with 958 apartments that is a mini vertical 14-floor township with basement plus stilts spread across eight towers. Located in Vengaivasal, equidistant between Velachery, OMR (IT Corridor) and Pallavaram, adjoining Medavakkam on the Mambakkam main road, Navin’s Starwood Towers comes to you with the latest Mivan construction technology, eco-friendly features, elegant architecture and design, a clubhouse, two commercial complexes featuring a bank, a departmental store, a clinic, a restaurant,a laundry , a salon and a host of other services. Truly a special niche, worthy of the Celebration of life. Navin’s Starwood Towers is a home you have been looking for and so richly deserve.
Features / Amenities
• Crystal Swimming Pool
• Sweatbox Gym
• Stellar Library
• Cafeteria
• Table Tennis
• Meditation/yoga hall
• Departmental Stores
• Bank / ATM
• Beauty Parlour
• Ice-cream Parlour
• Clinic / Pharmacy etc.","['https://is1-2.housingcdn.com/4f2250e8/4bb492041f1b27ce4538128f25c74044/v0/_p/navins_starwood_towers-medavakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/4bb492041f1b27ce4538128f25c74044/v0/large/navins_starwood_towers-medavakkam-chennai-navins_housing__properties_p_ltd.jpeg', 'https://img.youtube.com/vi/LsExDGnw1l0/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/0581a2eb08ca5cec093379db8f41f51a/v6/_p.jpg']",3 BHK Apartment,9.85 Acres
70,The Nest Fame,"Soumya Nagar, Near Sai Baba Temple, Medavakkam, Chennai south, Chennai","May, 2020",5.60 K/sq.ft,840.00 sq.ft. - 980.00 sq.ft.,1 Building - 10 units,"May, 2019","Nest Fame are centered around Medavakkam, a rapidly developing suburb in Chennai. It’s cradled between two happening localities of Velachery and Sholinganallur, which makes it the ideally suited choice for buyers looking at the proximity aspect. The projects that are closely located to the IT Corridor so choosing to live in this locality makes it an advantage to commute to workplaces without hassle. Thus, we also ensure you never miss out on the work-life balance. Our projects offer budget-friendly and affordable flats so that owning an apartment in a prime location does not remain a distant dream on your to-do list. At Nest Builders, we curate living spaces that are high on quality and yet surprisingly low on the maintenance cost. This ensures that while on your hunt to zero in on the perfect house, you don’t end up regretting the cost incurred. The flats are situated in a fully residential locality, which facilitates a safe hospitable environment for your family to live in. With a hub of schools and colleges that are a stone’s throw away, it makes it the undisputed option. Our projects are functionally designed so that you can thrive in a peaceful atmosphere complemented with just the right amount of the city’s bustle. After all, these aren’t only homes. They are your very own Dream Nests.---","['https://is1-3.housingcdn.com/4f2250e8/7bb998fa625fe387db8d52c747916bd5/v0/_p/the_nest_fame-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/7bb998fa625fe387db8d52c747916bd5/v0/large/the_nest_fame-medavakkam-chennai-the_nest_builder.jpeg', 'https://is1-2.housingcdn.com/012c1500/244a391430a24d22852c90bc2b935751/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/262a6e217ba2f3521b435dc71b6d5cfe/v0/_p.jpeg']",2 BHK Apartment,
71,G Square Prestige,"Thiruvidandhai, Chennai south, Chennai",Ready to Move,3.50 K/sq.ft,1000.00 sq.ft. - 2400.00 sq.ft.,250 units,,"G Square Prestige is a ready to construct plot project located in Kovalam with a Picturistic view . This gated community offers a wide variety of residential and commercial plots in a area of 12.5 Acres close to Muthukadu Backwaters and comes with features like blacktop internal roads, street lights, complete with clear titles.Imagine living amongst plenty of water bodies. The ripples of the lakes, the cool and brisk breeze, the call of birds flying through the air…That’s your lifestyle at G Square Prestige. with 184 residential and 14 commercial plots spread across 12.75 acres, this is one of the biggest plot communities. with boating & surfing opportunities nearby and the kovalam beach in 3 minutes, your adventures here are endless. G Square Prestige scores high when it comes to connectivity as well, Located 12 minutes from sholinganallur and just 6 minutes from Siruseri, you don’t have to worrry about accessibility here.","['https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/_p/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/large/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-2.housingcdn.com/012c1500/0788fa21750330b5abd03ae53217a553/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/3c443c5e6097308fd41c7b9ad85d5f02/v0/_p.jpeg']",Residential Plots,12.5 Acres
72,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,,"['https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/_p/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://is1-2.housingcdn.com/4f2250e8/854fbcd22dfa6e2f23ca85e85aa1d83b/v0/large/casagrand_zenith-medavakkam-chennai-casagrand_builder_private_limited.jpg', 'https://img.youtube.com/vi/b8xE1GCX3mU/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/97a151b5b3bd88140e8b4f0883962111/v0/_p.jpg']",3 BHK Apartment,7.46 Acres
73,G Square Prestige,"Thiruvidandhai, Chennai south, Chennai",Ready to Move,3.50 K/sq.ft,1000.00 sq.ft. - 2400.00 sq.ft.,250 units,,"G Square Prestige is a ready to construct plot project located in Kovalam with a Picturistic view . This gated community offers a wide variety of residential and commercial plots in a area of 12.5 Acres close to Muthukadu Backwaters and comes with features like blacktop internal roads, street lights, complete with clear titles.Imagine living amongst plenty of water bodies. The ripples of the lakes, the cool and brisk breeze, the call of birds flying through the air…That’s your lifestyle at G Square Prestige. with 184 residential and 14 commercial plots spread across 12.75 acres, this is one of the biggest plot communities. with boating & surfing opportunities nearby and the kovalam beach in 3 minutes, your adventures here are endless. G Square Prestige scores high when it comes to connectivity as well, Located 12 minutes from sholinganallur and just 6 minutes from Siruseri, you don’t have to worrry about accessibility here.","['https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/_p/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/large/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-2.housingcdn.com/012c1500/0788fa21750330b5abd03ae53217a553/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/3c443c5e6097308fd41c7b9ad85d5f02/v0/_p.jpeg']",Residential Plots,12.5 Acres
74,Myans Luxury Villas,"No.34,East Coast Road, Kanathur, Chennai (Next to Mayajaal), Chennai south, Chennai",Ready to Move,7.30 K/sq.ft,3670.00 sq.ft. - 5879.00 sq.ft.,73 units,"Jul, 2013","Looking for Villa in ECR , Chennai?. Myans Luxury Villas is a project by Mayances Construction and Engineering Services. The project is offering 3 BHK, 4 BHK, 5 BHK. It is set in 9 Acres . Myans Luxury Villas is a Ready to Move residential project. There are 73 units. There is 1 building in this project. As per the area plan, units are in the size range of 3670.0 - 5879.0 sq.ft.. Myans Luxury Villas is located in No.34,East Coast Road, Kanathur, Chennai (Next to Mayajaal). Myans Luxury Villas was launched in August 2013.Myans Luxury Villas offers a host of facilities for residents. This includes Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sportsies can use Cycling & Jogging Track. There is 24x7 Security. These amenities in Myans Luxury Villas are those that every homebuyer aspires for!.For home loans, interested buyers can seek financing from major banks like HDFC. Get in touch for limited- period offers like Early Bird offer Price Flat 25 Lakhs discount for first 10 bookings only Hurry! Limited Period Offer. when you buy a property at Myans Luxury Villas.RERA ID is TN/01/Building/0112/2017.Myans Luxury Villas is RERA-compliant and all necessary approvals are in place.Mayances Construction and Engineering Services is a reputed building firm with 1 projects since its inception in 2012.Kanathur Reddikuppam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/6ef234746d4f72e60d75ceae7cc2d895/v0/_p/myans_luxury_villas-ecr-chennai-mayances_construction_and_engineering_services.jpg', 'https://is1-2.housingcdn.com/4f2250e8/6ef234746d4f72e60d75ceae7cc2d895/v0/large/myans_luxury_villas-ecr-chennai-mayances_construction_and_engineering_services.jpg', 'https://is1-2.housingcdn.com/012c1500/724583b1c126e6de112a407a78edc125/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/a43a74f8700faf1b7dbb30b56c748d64/v0/_p.jpg']","3, 4, 5 BHK Villas",9 Acres (64% open)
75,Grand celestia,"1st Cross Street, Near Bhuvana Krishnan School, suseela Nagar, Chennai south, Chennai",,Price on request,On Request,,,"Grand celestia is a project by Grand Style Pvt Ltd in Chennai. Located in Kelambakkam, it is a residential project. The address of Grand celestia is 1st Cross Street, Near Bhuvana Krishnan School, suseela Nagar.Grand celestia ensures a coveted lifestyle and offers a convenient living.The firm has since then developed 5 projects and focuses on customer-centricity.Kelambakkam is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.",[], BHK ,
76,GP East Wind,"Siruseri, Chennai south, Chennai","Jun, 2022",4.30 K/sq.ft,750.00 sq.ft. - 1125.00 sq.ft.,34 units,,"We all want a future that's comfortable. What if we told you that the future you dream off is now here.
  
Welcome to GP Homes Eastwind, an apartment complex located in Padur, OMR. Designed with all the features and amenities you'd ever need, this is the ideal place for your future. In the vicinity of many IT parks, the location has incredible connectivity.
  
 ","['https://is1-2.housingcdn.com/4f2250e8/7152cd35190155572157c8da0952afed/v0/_p/gp_east_wind-padur-chennai-gp_homes.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/7152cd35190155572157c8da0952afed/v0/large/gp_east_wind-padur-chennai-gp_homes.jpeg', 'https://img.youtube.com/vi/YC931-doTxE/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/35bfd67480fa964acfedfea1e380fe8f/v0/_p.jpeg']","2, 3 BHK Apartments",
77,GP East Wind,"Siruseri, Chennai south, Chennai","Jun, 2022",4.30 K/sq.ft,750.00 sq.ft. - 1125.00 sq.ft.,34 units,,"We all want a future that's comfortable. What if we told you that the future you dream off is now here.
  
Welcome to GP Homes Eastwind, an apartment complex located in Padur, OMR. Designed with all the features and amenities you'd ever need, this is the ideal place for your future. In the vicinity of many IT parks, the location has incredible connectivity.
  
 ","['https://is1-2.housingcdn.com/4f2250e8/7152cd35190155572157c8da0952afed/v0/_p/gp_east_wind-padur-chennai-gp_homes.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/7152cd35190155572157c8da0952afed/v0/large/gp_east_wind-padur-chennai-gp_homes.jpeg', 'https://img.youtube.com/vi/YC931-doTxE/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/35bfd67480fa964acfedfea1e380fe8f/v0/_p.jpeg']","2, 3 BHK Apartments",
78,Codename Chennai’s Best – Manhattan Condos at OMR,"Padur, OMR, Chennai south, Chennai","Mar, 2023",4.86 K/sq.ft,663.00 sq.ft. - 918.00 sq.ft.,4130 units,"Jan, 2019","Check out this residential project for sale by Urbanrise in Padur, Chennai. Codename Chennai’s Best – Manhattan Condos at OMR offers Apartment as property type. It is currently Under Construction. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 663.0 - 918.0 sq.ft.. Codename Chennai’s Best – Manhattan Condos at OMR was launched in February 2019. Codename Chennai’s Best – Manhattan Condos at OMR possession is Mar, 2023. Altogether, there are 4130 units available. The address of Codename Chennai’s Best – Manhattan Condos at OMR is Padur, OMR.At Codename Chennai’s Best – Manhattan Condos at OMR, all residents have easy access to some of the truly desired facilities such as Gymnasium. If you are a sports lover, there are provisions meant for you such as a Basketball Court. Other facilities include ATM, Restaurants/ Cafeterias, provisions in the project. Kids can use the Children's Play Area, nearby apart from Swimming Pool. It is a Gated Community. Come home to Codename Chennai’s Best – Manhattan Condos at OMR.HDFC have approved home loans for Codename Chennai’s Best – Manhattan Condos at OMR.Codename Chennai’s Best – Manhattan Condos at OMR is approved by the state regulatory authority and the RERA ID is TN/01/Building/015/2019.Urbanrise is a renowned developer firm. The company was established in 2017 and has 9 projects to its credit.Padur is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-3.housingcdn.com/4f2250e8/598e4e9cbfd41c731488e40a6be41dbf/v0/_p/codename_chennais_best__manhattan_condos_at_omr-padur-chennai-urbanrise.jpg', 'https://is1-3.housingcdn.com/4f2250e8/598e4e9cbfd41c731488e40a6be41dbf/v0/large/codename_chennais_best__manhattan_condos_at_omr-padur-chennai-urbanrise.jpg', 'https://is1-2.housingcdn.com/012c1500/dc36d12b6d4aaeaf3ba43e26c818ab3e/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/a4975054084af34e3e2f43d22321c68e/v0/_p.jpg']","2, 3 BHK Apartment, Studio Apartments",
79,Akshaya Abov,"S. No.228/1b, Old Mahabalipuram Road, Kazhipathur, Padur, Chennai south, Chennai",Under Construction,8.00 K/sq.ft,6000.00 sq.ft. - 6607.00 sq.ft.,1 Building - 31 units,"Sep, 2012","Akshaya Abov is a project by Akshaya Homes in Chennai. It is a Under Construction project. Akshaya Abov offers some of the most conveniently designed Apartment. Located in Padur, it is a residential project. The project is spread over 2 Acres. It has 31 units. There is 1 building in this project. Akshaya Abov offers some of the most exclusive 4 BHK. As per the area plan, units are in the size range of 6000.0 - 6607.0 sq.ft.. Launched in October 2012, Akshaya Abov is slated for possession in May, 2022. The address of Akshaya Abov is S. No.228/1b, Old Mahabalipuram Road, Kazhipathur, Padur.Akshaya Abov ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. If you are a sports lover, there are provisions meant for you such as Cycling & Jogging Track. Residents also have access to Conference Room provisions in the project. There is 24x7 Security. Some other provisions include access to Landscaped Garden, Sewage Treatment Plant.All major banks such as Axis Bank, HDFC have approved home loans for Akshaya Abov.The project is RERA compliant and fulfils all necessities as required by the authorities. RERA ID of Akshaya Abov is TN/01/Building/0038/2017.Established in 1995, Akshaya Homes is a renowned developer firm. Till date, Akshaya Homes has developed 25 projects with a focus on healthy and sustainable lifestyle.Padur is well-connected to other parts of the city via an extensive road.","['https://is1-2.housingcdn.com/4f2250e8/b9d31e2e16902c768d46694e44730e4d/v0/_p/akshaya_abov-padur-chennai-akshaya_homes.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/b9d31e2e16902c768d46694e44730e4d/v0/large/akshaya_abov-padur-chennai-akshaya_homes.jpeg', 'https://img.youtube.com/vi/QiyLFfdsSY4/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/68e2c0d9b552331822203ce101411411/v0/_p.jpeg']","4 BHK Apartment, Duplex",2 Acres
80,Godrej Azure Phase 2,"No.2, Rajiv Gandhi Salai (OMR), Thiruporur Taluk, Near Padur, Chennai south, Chennai","Dec, 2022",4.25 K/sq.ft,1001.00 sq.ft. - 1430.00 sq.ft.,3 Buildings - 167 units,"Mar, 2017","Looking for Apartment in Padur, Chennai?. Godrej Azure Phase 2 is a project by Godrej Properties Ltd.. The project is offering 2 BHK, 2.5 BHK, 3 BHK. Godrej Azure Phase 2 is a Under Construction residential project. There are 131 units. There are 3 buildings in this project. As per the area plan, units are in the size range of 1001.0 - 1916.0 sq.ft.. Godrej Azure Phase 2 is located in No.2, Rajiv Gandhi Salai (OMR), Thiruporur Taluk, Near Padur. Godrej Azure Phase 2 was launched in April 2017.Godrej Azure Phase 2 offers a host of facilities for residents. This includes Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sportsies can use Tennis Court, Cycling & Jogging Track. All residents have access to Spa/Sauna/Steam, provisions in the project. Other provisions include access to Community Hall, Landscaped Garden, Sewage Treatment Plant, Shopping Mall, Multipurpose Room, Maintenance Staff, Staff Quarter, The property is has Fire Sprinklers. It is an Earthquake Resistant Structure. There is 24x7 Security. It is a Gated Community. These amenities in Godrej Azure Phase 2 are those that every homebuyer aspires for!.For home loans, interested buyers can seek financing from major banks like HDFC, ICICI Bank.RERA ID is TN/01/Building/0081/2017.Godrej Azure Phase 2 is RERA-compliant and all necessary approvals are in place.Godrej Properties Ltd. is a reputed building firm with 159 projects since its inception in 1990.Padur is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/78512667abc65ee3f3a921c16817ad21/v2/_p/godrej_azure_phase_2-padur-chennai-godrej_properties_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/78512667abc65ee3f3a921c16817ad21/v2/large/godrej_azure_phase_2-padur-chennai-godrej_properties_ltd.jpeg', 'https://img.youtube.com/vi/2hikRz7AlJk/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/149520b54fbb41af97c3470af70f88ea/v0/_p.jpeg']","2, 3 BHK Apartments",
81,Akshaya Orlando A1 To A6,"Kelambakkam, Chennai south, Chennai","Mar, 2022",3.80 K/sq.ft,994.00 sq.ft. - 1335.00 sq.ft.,,"Apr, 2018","Orlando A1 to A6 launched by well-known construction company Akshaya Homes is a residential project located in Kelambakkam, Chennai. The project is under construction and will be ready by March 2022 for possession. Kelambakkam is a sought after residential area in Chennai owing to its close proximity to the Rajiv Gandhi IT Corridor. Many reputed schools, educational institutes, and hospitals are established here. Restaurants, banks, and other utility shops are also located in the vicinity. Kelambakkam is well-connected to other areas by a network of road and rail transport. It is a comfortable locality to own a residential place. Sathankuppam, Rajeshwari Nagar, Jyothy Nagar, Balaji Nagar, Ajith Nagar, Susheela Nagar and Lakshmi Avenue are some of the popular sub localities of the area. Akshaya Homes can be contacted for owning a unit in Orlando A1 to A6.","['https://is1-2.housingcdn.com/4f2250e8/badb2ca2705257b4e624d537f536d8be/v0/_p/akshaya_orlando_a1_to_a6-kelambakkam_tamil_nadu-chennai-akshaya_homes.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/badb2ca2705257b4e624d537f536d8be/v0/large/akshaya_orlando_a1_to_a6-kelambakkam_tamil_nadu-chennai-akshaya_homes.jpeg', 'https://is1-2.housingcdn.com/012c1500/f752c3e26d77c1c070e031a68ffcb4e7/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/b0a003465c00ff30673c123db768b590/v0/_p.jpeg']","2, 3 BHK Apartments",
82,Codename Chennai’s Best – Manhattan Condos at OMR,"Padur, OMR, Chennai south, Chennai","Mar, 2023",4.86 K/sq.ft,663.00 sq.ft. - 918.00 sq.ft.,4130 units,"Jan, 2019","Check out this residential project for sale by Urbanrise in Padur, Chennai. Codename Chennai’s Best – Manhattan Condos at OMR offers Apartment as property type. It is currently Under Construction. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 663.0 - 918.0 sq.ft.. Codename Chennai’s Best – Manhattan Condos at OMR was launched in February 2019. Codename Chennai’s Best – Manhattan Condos at OMR possession is Mar, 2023. Altogether, there are 4130 units available. The address of Codename Chennai’s Best – Manhattan Condos at OMR is Padur, OMR.At Codename Chennai’s Best – Manhattan Condos at OMR, all residents have easy access to some of the truly desired facilities such as Gymnasium. If you are a sports lover, there are provisions meant for you such as a Basketball Court. Other facilities include ATM, Restaurants/ Cafeterias, provisions in the project. Kids can use the Children's Play Area, nearby apart from Swimming Pool. It is a Gated Community. Come home to Codename Chennai’s Best – Manhattan Condos at OMR.HDFC have approved home loans for Codename Chennai’s Best – Manhattan Condos at OMR.Codename Chennai’s Best – Manhattan Condos at OMR is approved by the state regulatory authority and the RERA ID is TN/01/Building/015/2019.Urbanrise is a renowned developer firm. The company was established in 2017 and has 9 projects to its credit.Padur is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-3.housingcdn.com/4f2250e8/598e4e9cbfd41c731488e40a6be41dbf/v0/_p/codename_chennais_best__manhattan_condos_at_omr-padur-chennai-urbanrise.jpg', 'https://is1-3.housingcdn.com/4f2250e8/598e4e9cbfd41c731488e40a6be41dbf/v0/large/codename_chennais_best__manhattan_condos_at_omr-padur-chennai-urbanrise.jpg', 'https://is1-2.housingcdn.com/012c1500/dc36d12b6d4aaeaf3ba43e26c818ab3e/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/a4975054084af34e3e2f43d22321c68e/v0/_p.jpg']","2, 3 BHK Apartment, Studio Apartments",
83,G Square Prestige,"Thiruvidandhai, Chennai south, Chennai",Ready to Move,3.50 K/sq.ft,1000.00 sq.ft. - 2400.00 sq.ft.,250 units,,"G Square Prestige is a ready to construct plot project located in Kovalam with a Picturistic view . This gated community offers a wide variety of residential and commercial plots in a area of 12.5 Acres close to Muthukadu Backwaters and comes with features like blacktop internal roads, street lights, complete with clear titles.Imagine living amongst plenty of water bodies. The ripples of the lakes, the cool and brisk breeze, the call of birds flying through the air…That’s your lifestyle at G Square Prestige. with 184 residential and 14 commercial plots spread across 12.75 acres, this is one of the biggest plot communities. with boating & surfing opportunities nearby and the kovalam beach in 3 minutes, your adventures here are endless. G Square Prestige scores high when it comes to connectivity as well, Located 12 minutes from sholinganallur and just 6 minutes from Siruseri, you don’t have to worrry about accessibility here.","['https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/_p/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/large/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-2.housingcdn.com/012c1500/0788fa21750330b5abd03ae53217a553/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/3c443c5e6097308fd41c7b9ad85d5f02/v0/_p.jpeg']",Residential Plots,12.5 Acres
84,G Square Prestige,"Thiruvidandhai, Chennai south, Chennai",Ready to Move,3.50 K/sq.ft,1000.00 sq.ft. - 2400.00 sq.ft.,250 units,,"G Square Prestige is a ready to construct plot project located in Kovalam with a Picturistic view . This gated community offers a wide variety of residential and commercial plots in a area of 12.5 Acres close to Muthukadu Backwaters and comes with features like blacktop internal roads, street lights, complete with clear titles.Imagine living amongst plenty of water bodies. The ripples of the lakes, the cool and brisk breeze, the call of birds flying through the air…That’s your lifestyle at G Square Prestige. with 184 residential and 14 commercial plots spread across 12.75 acres, this is one of the biggest plot communities. with boating & surfing opportunities nearby and the kovalam beach in 3 minutes, your adventures here are endless. G Square Prestige scores high when it comes to connectivity as well, Located 12 minutes from sholinganallur and just 6 minutes from Siruseri, you don’t have to worrry about accessibility here.","['https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/_p/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/large/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-2.housingcdn.com/012c1500/0788fa21750330b5abd03ae53217a553/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/3c443c5e6097308fd41c7b9ad85d5f02/v0/_p.jpeg']",Residential Plots,12.5 Acres
85,G Square Prestige,"Thiruvidandhai, Chennai south, Chennai",Ready to Move,3.50 K/sq.ft,1000.00 sq.ft. - 2400.00 sq.ft.,250 units,,"G Square Prestige is a ready to construct plot project located in Kovalam with a Picturistic view . This gated community offers a wide variety of residential and commercial plots in a area of 12.5 Acres close to Muthukadu Backwaters and comes with features like blacktop internal roads, street lights, complete with clear titles.Imagine living amongst plenty of water bodies. The ripples of the lakes, the cool and brisk breeze, the call of birds flying through the air…That’s your lifestyle at G Square Prestige. with 184 residential and 14 commercial plots spread across 12.75 acres, this is one of the biggest plot communities. with boating & surfing opportunities nearby and the kovalam beach in 3 minutes, your adventures here are endless. G Square Prestige scores high when it comes to connectivity as well, Located 12 minutes from sholinganallur and just 6 minutes from Siruseri, you don’t have to worrry about accessibility here.","['https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/_p/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/11c08bfeba8872719d05a567f3da6507/v0/large/g_square_prestige-kovalam-chennai-g_square_housing.jpeg', 'https://is1-2.housingcdn.com/012c1500/0788fa21750330b5abd03ae53217a553/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/3c443c5e6097308fd41c7b9ad85d5f02/v0/_p.jpeg']",Residential Plots,12.5 Acres
