,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images,Rera Id
54,Amit Astonia Royale Phase III P Building,"S No 56 Part, 62 Part, 63 Part, Haveli, Ambegaon Budruk, Pune",3 BHK Apartment,"Dec, 2023",7.29 K/sq.ft,835.00 sq.ft. - 847.00 sq.ft.,,1 Building - 81 units,"Jan, 2014","Astonia Royale is a residential venture by Amit Enterprises Housing and is located in Pune at Ambegaon Budruk. The project has 2 BHK and 3 BHK flats up for sale. The units come in a variety of configurations.Astonia Royale is a premium property with a host of amenities including an amphitheatre, community hall, gymnasium, landscaped gardens, children's play area and more. These amenities make it a perfect choice for those who want to unwind after a day's work.There are many reputed schools and hospitals in the proximity to the project.The Mumbai-Pune expressway provides good connectivity and the Hadapsar and Hinjewadi IT parks are close by.","['https://is1-2.housingcdn.com/4f2250e8/5de2c749a7031693566c8eb36d974702/v2/_p/amit_astonia_royale_phase_iii_p_building-ambegaon_budruk-pune-amit_enterprises_housing_ltd.jpg', 'https://is1-2.housingcdn.com/4f2250e8/5de2c749a7031693566c8eb36d974702/v2/large/amit_astonia_royale_phase_iii_p_building-ambegaon_budruk-pune-amit_enterprises_housing_ltd.jpg', 'https://is1-2.housingcdn.com/012c1500/00d359949981b28bbc958233a1b06921/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/0b9efd3bfa4f1b9e7c7e40074a00bd45/v2/_p.jpg']",
55,Nanded Asawari,"Sinhagad Road, Nanded, Sinhagad Road, Pune","2, 3 BHK Apartments","Oct, 2015",4.75 K/sq.ft,872.00 sq.ft. - 1353.00 sq.ft.,,11 Buildings - 1936 units,"Feb, 2009","Nanded Asawari is a residential project in Nanded, Pune. Nanded Asawari offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 872.0 - 1353.0 sq.ft.. The property is Ready to Move. There are 11 buildings for sale. The project was launched in March 2009 and possession date of Nanded Asawari is Oct, 2015. Nanded Asawari is located in Sinhagad Road, Nanded. The project is developed by Nanded City Development and Construction. There are 1936 units for sale.Nanded Asawari is equipped with various resident-centric amenities that includes Lift, Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool, Sports Area, Recreation Facilities. Cycling & Jogging Track - these are some avenues for sports lovers. There is 24x7 Security. It is a Gated Community. Enjoy a class-apart lifestyle at Nanded Asawari.Located close to prominent suburbs of Pune, the area of Nanded has prominent schools and hospitals within a close distance.","['https://is1-3.housingcdn.com/4f2250e8/8d8061dce4e819076cf14e52978f1cd6/v0/_p/nanded_asawari-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/8d8061dce4e819076cf14e52978f1cd6/v0/large/nanded_asawari-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/feac3a8935aecfb9024e70150c3d86a5/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/17843b7eac8191e3131219505bc2710a/v0/_p.jpeg']",
56,Darode Serene County,"Singhad Road, Sinhagad Road, Pune","1.5, 2 BHK Apartments",Ready to Move,8.50 K/sq.ft,675.00 sq.ft. - 1700.00 sq.ft.,,10 Buildings - 350 units,"May, 2017","Serene County by Darode-Jog Properties invites you to come home in a serene environment of Nanded of Pune. This project has been crafted with meticulous care, considering each of the aspects like location, amenities, layouts, features, specifications and above all, price. This is the perfect blend of your idea of a dream home and realities of today's construction industry. It is your intense wish fulfilled within your easy reach. Just one glance and you are sure to fall in love with your home at the very first sight.","['https://is1-3.housingcdn.com/4f2250e8/287b0c4556f06163df9aafdb89199594/v7/_p/darode_serene_county-nanded-pune-darode-jog_properties.jpg', 'https://is1-3.housingcdn.com/4f2250e8/287b0c4556f06163df9aafdb89199594/v7/large/darode_serene_county-nanded-pune-darode-jog_properties.jpg', 'https://is1-3.housingcdn.com/012c1500/3aca8fc86ef39aaee3302b3c742a667d/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/1a1e6256743519ed3d00863aba466d50/v0/_p.jpg']",
57,Darode Crossover County,"Rajyog Rd, Nandel Fata, Industrial Area, Nanded, Dhayari, Pune, Sinhagad Road, Pune","2, 3 BHK Apartments",Ready to Move,Price on request,1143.00 sq.ft. - 1434.00 sq.ft.,,1 Building - 310 units,"Aug, 2007","Darode Jog has launched Crossover County, a residential housing project located in Pune at Dhayari. Crossover County is in close proximity to many reputed schools and hospitals. Pune is a prime area, with many attractions work and recreational options just a drive away. The project offers many amenities such as Indoor Games, Children's play area, Multipurpose Room, Landscaped Gardens, 24 X 7 Security.","['https://is1-2.housingcdn.com/4f2250e8/ad572b5f3cd719eef5757bd0e1aa822a/v0/_p/darode_crossover_county-nanded-pune-darode-jog_properties.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/ad572b5f3cd719eef5757bd0e1aa822a/v0/large/darode_crossover_county-nanded-pune-darode-jog_properties.jpeg', 'https://is1-2.housingcdn.com/012c1500/1a9c917e8d8b250fbb9c4306b9ed3bfa/v2/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/2e16d71437a11c88a335047eb8ce784e/v2/_p.jpeg']",
58,Prayeja City Phase 1,"Survey No. 71, Near Mumbai Pune Bypass Rd, Sinhgad Road, Near Karve Nagar, Dhayari, Sinhagad Road, Pune","2, 3 BHK Apartments",Ready to Move,7.29 K/sq.ft,615.00 sq.ft. - 1440.00 sq.ft.,,8 Buildings - 501 units,"Mar, 2014","Located near Karve Nagar in Pune, Prayeja City Phase 1 is an upcoming residential project from Prayeja. The project ready-to-move and offers all lifestyle facilities that make for a comfortable lifestyle. Prayeja City Phase 1 has Library, Community Hall, Landscaped Garden, Fire Fighting Systems and Power Backup. Restaurants, banks, hospitals, ATMs and schools are all within the vicinity, making everyday life easy. Karve Nagar is also well-connected by public transport with other parts of Pune.","['https://is1-2.housingcdn.com/4f2250e8/22a6357b86f56dc5af0f25ef32cebc0d/v0/_p/prayeja_city_phase_1-karvenagar-pune-prayeja.jpg', 'https://is1-2.housingcdn.com/4f2250e8/22a6357b86f56dc5af0f25ef32cebc0d/v0/large/prayeja_city_phase_1-karvenagar-pune-prayeja.jpg', 'https://is1-2.housingcdn.com/012c1500/5320a418b5d03d772e93b90c5cb56dbb/v4/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/1859850245b0ea24889f7616eec76c4c/v0/_p.jpg']",.css-ng33kp{margin-top:6px;color:#5e23dc;cursor:pointer;padding-bottom:6px;}+1 more
59,Prayeja City Phase 1,"Survey No. 71, Near Mumbai Pune Bypass Rd, Sinhgad Road, Near Karve Nagar, Dhayari, Sinhagad Road, Pune","2, 3 BHK Apartments",Ready to Move,7.29 K/sq.ft,615.00 sq.ft. - 1440.00 sq.ft.,,8 Buildings - 501 units,"Mar, 2014","Located near Karve Nagar in Pune, Prayeja City Phase 1 is an upcoming residential project from Prayeja. The project ready-to-move and offers all lifestyle facilities that make for a comfortable lifestyle. Prayeja City Phase 1 has Library, Community Hall, Landscaped Garden, Fire Fighting Systems and Power Backup. Restaurants, banks, hospitals, ATMs and schools are all within the vicinity, making everyday life easy. Karve Nagar is also well-connected by public transport with other parts of Pune.","['https://is1-2.housingcdn.com/4f2250e8/22a6357b86f56dc5af0f25ef32cebc0d/v0/_p/prayeja_city_phase_1-karvenagar-pune-prayeja.jpg', 'https://is1-2.housingcdn.com/4f2250e8/22a6357b86f56dc5af0f25ef32cebc0d/v0/large/prayeja_city_phase_1-karvenagar-pune-prayeja.jpg', 'https://is1-2.housingcdn.com/012c1500/5320a418b5d03d772e93b90c5cb56dbb/v4/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/1859850245b0ea24889f7616eec76c4c/v0/_p.jpg']",.css-ng33kp{margin-top:6px;color:#5e23dc;cursor:pointer;padding-bottom:6px;}+1 more
60,Nanded Sargam At Nanded City,"Plot No.S No13P14P15P16P17P, Nanded, Haveli, Near Dhayari, Sinhagad Road, Pune","2, 2.5, 3 BHK Apartments","Mar, 2019",8.43 K/sq.ft,665.00 sq.ft. - 1033.00 sq.ft.,13 Acres,7 Buildings - 1736 units,"Nov, 2014","Sargam at Nanded City is a residential project developed by Nanded City Development and Construction at Nanded in Pune. The project aims to offer a comfortable living condition to the residents by encompassing , adding to its existing many facilities.","['https://is1-3.housingcdn.com/4f2250e8/496a02cd89797efa356ea16f4858a5e9/v0/_p/nanded_sargam_at_nanded_city-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/496a02cd89797efa356ea16f4858a5e9/v0/large/nanded_sargam_at_nanded_city-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/da20f00f7476f10341fde0bf37dbf981/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/dec7f6fb7e1b50252d8b7cf7646ddd29/v0/_p.jpg']",
61,Nanded Lalit,"Sinhagad Road, Dhayari, Sinhagad Road, Pune",3 BHK Apartment,"Jun, 2015",4.25 K/sq.ft,1114.00 sq.ft.,,6 Buildings - 792 units,"Aug, 2009","Residential project, Nanded Lalit in Pune is offering units for sale in Nanded. Check out some Apartment that suit your lifestyle and liking. Possession date of Nanded Lalit is Jun, 2015. The property offers 3 BHK units. As per the area plan, units are in the size of 1114.0 sq.ft.. This residential project was launched in September 2009. It has 792 units. There are 6 buildings in this project. Contact for further details. Nanded Lalit is located in Sinhagad Road, Dhayari.In terms of facilities, Nanded Lalit is loaded with multiple offerings such as Lift, Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool, Sports Area. It is a Gated Community. The property has Fire Fighting Systems.Nanded City Development and Construction is a very well-known developer-firm in this real estate market. Residents and their lifestyle are at the centre of their developments.Prominent suburbs of Pune are close by to Nanded and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/84c6c158630ffce0105af5328ba730b9/v0/_p/nanded_lalit-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/84c6c158630ffce0105af5328ba730b9/v0/large/nanded_lalit-nanded-pune-nanded_city_development__construction_co_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/dd001925ea8f18095a8ddb137c23ada6/v0/_p.jpg', 'https://is1-3.housingcdn.com/012c1500/3ea59949c8bd4dab0fcc8efae6f2d041/v0/_p.jpg']",
62,Silver Stone,"Handewadi Main Chauk, Undri-Saswad Road, Handewadi, Handewadi Road-Hadapsar, Pune",2 BHK Apartment,"Dec, 2023",5.67 K/sq.ft,630.00 sq.ft.,8 Acres,8 Buildings - 393 units,"May, 2014","Panama Silver Stone, a project by Panama Sunarch Developers, is located at Handewadi in Pune. It comprises 2 BHK and 3 BHK apartments of sizes ranging from 538 square foot to 882 square foot. There is the basic amenity of open and closed car parking.There are banks, schools, hospitals, parks, grocery shops, shopping malls and restaurants in the locality of Panama Silver Stone. The bus stops are at a stone's throw from it. There are railway stations within a 5 Min radius of the project. This makes commuting to other parts of Pune easy.The Pune international airport is about 21 Min from the project.","['https://is1-3.housingcdn.com/4f2250e8/44b95b40631d191f0d0112435f6d1429/v0/_p/silver_stone-handewadi-pune-panama_sunarch_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/44b95b40631d191f0d0112435f6d1429/v0/large/silver_stone-handewadi-pune-panama_sunarch_developers.jpeg', 'https://img.youtube.com/vi/pakTMXk1eJw/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/116c1976e76d31373bf555a306e0974f/v0/_p.png']",
63,Kalpataru Serenity,"Manjari, Pune",2 BHK Apartment,"Dec, 2023",Price on request,715.00 sq.ft.,16 Acres,11 Buildings - 510 units,"Dec, 2010","At the imposing multi storey towers of Kalpataru Serenity, a world-class living experience awaits. Smart 2 BHK properties in Pune ensure the best in comfort to the residents of Serenity. Recreation is served on a platter at the clubhouse equipped with a gymnasium, multi-purpose hall, indoor games room and multiple swimming pools. The luxurious spa is a refreshing retreat to tired residents at the end of a long day with facilities like steam and Jacuzzi. Kalpataru Serenity doesn’t just change the lifestyles of its inhabitants; it transforms the entire vista of the neighbourhood.     Spread over 16 acres (approx..)  Kalpataru Serenity is the largest gated community in Manjri with 6 majestic multi-storeyed towers. Kalpataru Serenity brings a whole new perspective to community living. Its inclusive design philosophy integrates thoughtfully designed apartments with beautifully manicured greenery and creates spaces that bring the community alive. The lavish clubhouse has several features a large swimming pool with a toddler’s pool and luxury amenities like a squash court, spa with Jacuzzi & steam room, table tennis room, fully equipped gymnasium, multi-purpose hall. Along with this, there is an array of amenities like a multi-purpose court, lush green gardens, children’s play area, skating rink, reflexology path, etc. All the amenities including the clubhouse are ready on site. A community of 600 families are already residing at Kalptaru Serenity. ","['https://is1-3.housingcdn.com/4f2250e8/8a1d89a6e356d499f648f4cd0e904ee7/v0/_p/kalpataru_serenity-hadapsar-pune-kalpataru_group.jpg', 'https://is1-3.housingcdn.com/4f2250e8/8a1d89a6e356d499f648f4cd0e904ee7/v0/large/kalpataru_serenity-hadapsar-pune-kalpataru_group.jpg', 'https://img.youtube.com/vi/KjimqKmFk2M/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/037f7b6ce8f2ecd5eab1ddb7508f03fc/v2/_p.jpg']",
64,Ira Housing Society,"Kondhwa Saswad Road, Near The Great Maratha Biryani House, Handewadi, Pune", BHK ,,Price on request,On Request,,,,"Ira Housing Society in Handewadi, Pune is a residential project. The address of Ira Housing Society is Kondhwa Saswad Road, Near The Great Maratha Biryani House, Handewadi.Life at Ira Housing Society is suited for every age group. The property offers various offers a convenient living.Handewadi is a prime area, with many attractions work and recreational options just a drive away.",[],
65,Kumar Park Infinia,"S.no. 214, 220,221, Opp.Shiv Shankar Mangal Karyalaya, Phursungi, Tal. Haveli, Fursungi, Pune",2 BHK Apartment,"Mar, 2024",8.18 K/sq.ft,634.00 sq.ft. - 764.00 sq.ft.,4.26 Acres (80% open),6 Buildings - 336 units,,"Looking for Apartment in Fursungi, Pune?. Kumar Park Infinia L2 L3 L4 K4 K5 And J4 is a project by Kumar Properties. The project is offering 1 BHK, 2 BHK. Kumar Park Infinia L2 L3 L4 K4 K5 And J4 is a Under Construction residential project. There are 336 units. There are 6 buildings in this project. As per the area plan, units are in the size range of 460.0 - 613.0 sq.ft.. Kumar Park Infinia L2 L3 L4 K4 K5 And J4 is located in 214P, 220P, 221P, Fursungi. Kumar Park Infinia L2 L3 L4 K4 K5 And J4 was launched in September 2020.Kumar Park Infinia L2 L3 L4 K4 K5 And J4 offers a host of facilities for residents. Other provisions include access to Aggregate area of recreational Open Space, Electrical Meter Room, Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, The property is has Fire Protection And Fire Safety Requirements. There is provision for Closed Car Parking. These amenities in Kumar Park Infinia L2 L3 L4 K4 K5 And J4 are those that every homebuyer aspires for!.RERA ID is P52100026185.Kumar Park Infinia L2 L3 L4 K4 K5 And J4 is RERA-compliant and all necessary approvals are in place.Kumar Properties is a reputed building firm with 35 projects since its inception in 1966.Fursungi is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/0c1617fcbc71d3d0825c1a085569f098/v0/_p/kumar_park_infinia-fursungi-pune-kumar_properties.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/0c1617fcbc71d3d0825c1a085569f098/v0/large/kumar_park_infinia-fursungi-pune-kumar_properties.jpeg', 'https://img.youtube.com/vi/W_VeXi6o13c/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1018b15beeb4a93d8af0ada2652bda3c/v0/_p.jpeg']",
66,Tata Inora Park,"Near Bishops School, Undri, Pune","2, 3 BHK Apartments",Ready to Move,5.28 K/sq.ft,1000.00 sq.ft. - 1409.00 sq.ft.,6 Acres (70% open),3 Buildings - 248 units,"Jan, 2010","Welcome to Inora Park developed by Tata Value Homes, situated in one of Puneâ??s upcoming development corridor of Undri, near NIBM Annexe, located close to several key destinations and flanked by Magarpatta and Hadapsar IT Ites hubs. A luxurious 3 BHK at Inora Park offers open spaces and breath-taking views of the hills, with buildings designed in a way to maximise green spaces with effective ventilation. The building external consists of a double walled structure ensuring stability and effective weather endurance. With excellent connectivity and a comfortable living space with state of the art clubhouse, Inora Park offers an excellent work-life balance. Inora Park developed by Tata Value Homes located at Undri is a home meant for a lifetime of happiness. ","['https://is1-3.housingcdn.com/4f2250e8/a27bf100dd5fb80d15f6f010c868ce8a/v0/_p/tata_inora_park-undri-pune-tata_value_homes.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/a27bf100dd5fb80d15f6f010c868ce8a/v0/large/tata_inora_park-undri-pune-tata_value_homes.jpeg', 'https://img.youtube.com/vi/z96tzwTuE0Y/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/0eb03d36c7cc738b0479c2032897020f/v0/_p.jpeg']",
67,Silver Stone,"Handewadi Main Chauk, Undri-Saswad Road, Handewadi, Handewadi Road-Hadapsar, Pune",2 BHK Apartment,"Dec, 2023",5.67 K/sq.ft,630.00 sq.ft.,8 Acres,8 Buildings - 393 units,"May, 2014","Panama Silver Stone, a project by Panama Sunarch Developers, is located at Handewadi in Pune. It comprises 2 BHK and 3 BHK apartments of sizes ranging from 538 square foot to 882 square foot. There is the basic amenity of open and closed car parking.There are banks, schools, hospitals, parks, grocery shops, shopping malls and restaurants in the locality of Panama Silver Stone. The bus stops are at a stone's throw from it. There are railway stations within a 5 Min radius of the project. This makes commuting to other parts of Pune easy.The Pune international airport is about 21 Min from the project.","['https://is1-3.housingcdn.com/4f2250e8/44b95b40631d191f0d0112435f6d1429/v0/_p/silver_stone-handewadi-pune-panama_sunarch_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/44b95b40631d191f0d0112435f6d1429/v0/large/silver_stone-handewadi-pune-panama_sunarch_developers.jpeg', 'https://img.youtube.com/vi/pakTMXk1eJw/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/116c1976e76d31373bf555a306e0974f/v0/_p.png']",
68,Lushlife Impero,"Sr No. 22, Autade, Handewadi, Handewadi Road-Hadapsar, Pune","1, 2 BHK Apartments","Sep, 2022",5.67 K/sq.ft,351.00 sq.ft. - 545.00 sq.ft.,,2 Buildings - 214 units,"Jul, 2018","There are various amenities in Impero with Others, Others, Others, Others, Indoor Games . Located close to prominent suburbs of Pune, has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/6ca3968cf7e1382af33d2fdad10e288c/v0/_p/lushlife_impero-handewadi-pune-lushlife_landmarks.jpg', 'https://is1-2.housingcdn.com/4f2250e8/6ca3968cf7e1382af33d2fdad10e288c/v0/large/lushlife_impero-handewadi-pune-lushlife_landmarks.jpg', 'https://img.youtube.com/vi/h9aAbNFWUr4/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/040175e435a177775e7eea9f23f9d563/v0/_p.jpeg']",
69,Elated Khushvista Phase 1,"Near Corinthians Club Mohammadwadi, Pune",2 BHK Apartment,"Dec, 2024",Price on request,713.00 sq.ft. - 715.00 sq.ft.,1.02 Acres,1 Building - 103 units,"Sep, 2021","KhushVista is an amalgamation of three pioneers – Stone Capital, Porwal Developers, and Chandan Group. With our legacies rooted in trust, diligence, and quality, we came together to redefine the landscape of real estate in Pune by building projects which would be the benchmarks of construction and design excellence. On this journey of creating exceptional homes, we bring decades of expertise in construction, interior designing, flooring, and furnishing","['https://is1-2.housingcdn.com/4f2250e8/42741e162f14db4157fd823eccd528b5/v0/_p/elated_khushvista_phase_1-mohammed_wadi-pune-elated_housing_llp.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/42741e162f14db4157fd823eccd528b5/v0/large/elated_khushvista_phase_1-mohammed_wadi-pune-elated_housing_llp.jpeg', 'https://is1-3.housingcdn.com/012c1500/566c6b1c1112a1d93fb69a44744c5043/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/66b9aca67661984bad0bc7cda3105b2a/v0/_p.jpeg']",
70,Kumar Park Infinia,"S.no. 214, 220,221, Opp.Shiv Shankar Mangal Karyalaya, Phursungi, Tal. Haveli, Fursungi, Pune",2 BHK Apartment,"Mar, 2024",8.18 K/sq.ft,634.00 sq.ft. - 764.00 sq.ft.,4.26 Acres (80% open),6 Buildings - 336 units,,"Looking for Apartment in Fursungi, Pune?. Kumar Park Infinia L2 L3 L4 K4 K5 And J4 is a project by Kumar Properties. The project is offering 1 BHK, 2 BHK. Kumar Park Infinia L2 L3 L4 K4 K5 And J4 is a Under Construction residential project. There are 336 units. There are 6 buildings in this project. As per the area plan, units are in the size range of 460.0 - 613.0 sq.ft.. Kumar Park Infinia L2 L3 L4 K4 K5 And J4 is located in 214P, 220P, 221P, Fursungi. Kumar Park Infinia L2 L3 L4 K4 K5 And J4 was launched in September 2020.Kumar Park Infinia L2 L3 L4 K4 K5 And J4 offers a host of facilities for residents. Other provisions include access to Aggregate area of recreational Open Space, Electrical Meter Room, Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, The property is has Fire Protection And Fire Safety Requirements. There is provision for Closed Car Parking. These amenities in Kumar Park Infinia L2 L3 L4 K4 K5 And J4 are those that every homebuyer aspires for!.RERA ID is P52100026185.Kumar Park Infinia L2 L3 L4 K4 K5 And J4 is RERA-compliant and all necessary approvals are in place.Kumar Properties is a reputed building firm with 35 projects since its inception in 1966.Fursungi is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/0c1617fcbc71d3d0825c1a085569f098/v0/_p/kumar_park_infinia-fursungi-pune-kumar_properties.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/0c1617fcbc71d3d0825c1a085569f098/v0/large/kumar_park_infinia-fursungi-pune-kumar_properties.jpeg', 'https://img.youtube.com/vi/W_VeXi6o13c/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1018b15beeb4a93d8af0ada2652bda3c/v0/_p.jpeg']",
71,Nirman Brookefield Willows A2,"Pisoli, Near Undri, Pune","2, 3 BHK Apartments",Under Construction,Price on request,670.00 sq.ft. - 932.00 sq.ft.,4 Acres,1 Building - 120 units,,Brookefield Willows is registered in RERA under projects as - Brookefield Willows Apartment P52100028570. Brookefield Willows is spread across acres of beautiful landscapes with mesmerizing accommodations that is nestled in the midst of nature. The grand locality soothes the mind and heart of the dwellers here. The residency allows you to enjoy the exact blend of luxury and comfort. You are also offered to feel your life in a new way in a seamless and smooth ambiance. Here you can also feel that the natural serenity and calmness at their best. This elegant residency allows you to have all your priority demands fulfilled here easily and you also experience a wide range of modern amenities here in a cool environment.,"['https://is1-3.housingcdn.com/4f2250e8/671dbd5551e364350fa023a583c33b52/v0/_p/nirman_brookefield_willows_a2-pisoli-pune-nirman_developers.jpg', 'https://is1-3.housingcdn.com/4f2250e8/671dbd5551e364350fa023a583c33b52/v0/large/nirman_brookefield_willows_a2-pisoli-pune-nirman_developers.jpg', 'https://is1-2.housingcdn.com/012c1500/32f5fef406010ca0592fd277490a0d6b/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/6b9fee230b20801fd04d96dc59315c84/v0/_p.jpg']",
72,Vishwakarma Vedant,"Undri, NIBM Road, Pune",2 BHK Apartment,Ready to Move,4.80 K/sq.ft,604.00 sq.ft. - 717.00 sq.ft.,,,"May, 2012","Vishwakarma Properties has developed residential project Vedant in Undri, Pune. Undri is a popular area. Its neighbouring localities include Purandar taluka in East, Velhe taluka in West, Pune taluka towards North and Pimpri - Chinchwad towards South. There is excellent connectivity from Undri to Hadapsar, IT Park in Phursungi and the well-developed residential areas of NIBM Annexe, MG Road, Wanowrie, Lulla Nagar, Bibvewadi, Fatima Nagar, Katraj- Bypass, and Road. Many schools, educational institutes, and hospitals are established here. Restaurants, banks, and other utility shops are also located in the vicinity. Vedant was launched in June 2012 and ready for possession in December 2013. Units are available on resale.","['https://is1-2.housingcdn.com/4f2250e8/800c65d05a1b06f25d81a7b7c8d75b90/v0/_p/vishwakarma_vedant-undri-pune-vishwakarma_real_estates__constructions.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/800c65d05a1b06f25d81a7b7c8d75b90/v0/large/vishwakarma_vedant-undri-pune-vishwakarma_real_estates__constructions.jpeg', 'https://is1-2.housingcdn.com/012c1500/36b6e3c6519a97db5bace2b0566fb634/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/610ebe077f86126886d40b4e588a9988/v0/_p.jpeg']",
73,K Raheja Sterling,"NIBM Annex Mohammadwadi, NIBM Post Office Road, Pune","2, 3 BHK Apartments","Mar, 2026",10.68 K/sq.ft,702.00 sq.ft. - 834.00 sq.ft.,0.19 Acres,1 Building - 195 units,"Dec, 2021","K Raheja Corp has lauched K Raheja Sterling in Kondhwa, Pune. A residential project spread over 0.19 Acres , it offers ample amount of facilities for residents. The project was launched in January 2022. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 702.0 - 834.0 sq.ft.. There are 195 units in K Raheja Sterling. Overall, there is 1 building. The possession date of K Raheja Sterling is Mar, 2026. The address of K Raheja Sterling is NIBM Annex Mohammadwadi.Enjoy a host of facilities at K Raheja Sterling which includes Gymnasium, Power Backup. Children have access to Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Ample provision for sports avenues such as Tennis Court, Squash Court, Skating Rink, Basketball Court, Badminton Court, Cycling & Jogging Track. Residents will enjoy access to Barbecue Area, Restaurants/ Cafeterias, provisions in the project. There is 24x7 Security. Other provisions include access to Banquet Hall, Party Hall, Energy management, Landscaping & Tree Planting, Solid Waste Management And Disposal, Storm Water Drains, Sewage Treatment Plant, Multipurpose Room. Own a home in K Raheja Sterling today!.Also avail of limited-period offers running currently such as Modular Kitchen & Centralised Ac ( Only To First 100 Customers).This is a RERA registered project with RERA ID P52100032431 and fulfils all conditions placed by the state regulatory body.This project has been developed by K Raheja Corp. K Raheja Corp is a reputed developer firm with experience in developing livable spaces for homebuyers since 1956.Kondhwa is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/4fa82e37e23edc476439567ad399dd5c/v0/_p/k_raheja_sterling-kondhwa-pune-k_raheja_corp.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/4fa82e37e23edc476439567ad399dd5c/v0/large/k_raheja_sterling-kondhwa-pune-k_raheja_corp.jpeg', 'https://is1-2.housingcdn.com/012c1500/3eeec9155492fbf6eab2e5849a038324/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/c793277b97e6e4b56ca1ae6a47cf1af0/v0/_p.jpeg']",
