,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,About,images
10,Shriram Code Name Dil Chahta Hai Dobara,"Sy.no. 5/1, 5/2, 7/2, 10/2, 44/2, 44/5, 45/2c, 46 And 47 Of Manchenahalli Village, Attibele Hobli, Anekal Taluk, Attibele, South Bangalore, Bangalore","2, 3 BHK Apartments","Jun, 2024",4.42 K/sq.ft,477.00 sq.ft. - 635.00 sq.ft.,18.12 Acres,708 units,"Aug, 2019","Shriram Code Name Dil Chahta Hai Dobara is a residential project in Attibele, Bangalore. It is set in an area of 18.12 Acres . Shriram Code Name Dil Chahta Hai Dobara offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 477.0 - 635.0 sq.ft.. The property is Under Construction. The project was launched in August 2019 and possession date of Shriram Code Name Dil Chahta Hai Dobara is Jun, 2024. Shriram Code Name Dil Chahta Hai Dobara is located in Sy.no. 5/1, 5/2, 7/2, 10/2, 44/2, 44/5, 45/2c, 46 And 47 Of Manchenahalli Village, Attibele Hobli, Anekal Taluk, Attibele. The project is developed by Shriram Properties Limited. There are 708 units for sale.Shriram Code Name Dil Chahta Hai Dobara is equipped with various resident-centric amenities that includes Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Cricket Pitch, Basketball Court, Cycling & Jogging Track - these are some avenues for sports lovers. Enjoy a class-apart lifestyle at Shriram Code Name Dil Chahta Hai Dobara.This project meets all mandates as required by the state authority. RERA ID of Shriram Code Name Dil Chahta Hai Dobara is PRM/KA/RERA/1251/308/PR/190715/002689.Located close to prominent suburbs of Bangalore, the area of Attibele has prominent schools and hospitals within a close distance.","['https://is1-2.housingcdn.com/4f2250e8/acd13c95eca0ce6b343d733fba4580c6/v0/_p/shriram_code_name_dil_chahta_hai_dobara-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/acd13c95eca0ce6b343d733fba4580c6/v0/large/shriram_code_name_dil_chahta_hai_dobara-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://img.youtube.com/vi/g_LTJw626PE/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/097060ef0dbf22e75550943db0852498/v0/_p.jpeg']"
11,Shriram Code Name Dil Chahta Hai,"Off Hosur Road, South Bangalore, Bangalore","2, 3 BHK Apartments","Jul, 2024",3.19 K/sq.ft,698.00 sq.ft. - 914.00 sq.ft.,18 Acres,634 units,"Dec, 2018","Shriram Code Name Dil Chahta Hai is a residential project developed by Shriram Properties Limited at Bangalore in Bangalore Urban. The project aims to offer a comfortable living condition to the residents by encompassing Children's Play Area, Amphitheatre, Swimming Pool and Skating Rink, adding to its existing many facilities.Unveiling the new tower under the name of Candolim ( Launching last and premium most tower with lakeview &  amenities facing units )","['https://is1-2.housingcdn.com/4f2250e8/731bee4e70d59e487e9601d23116071e/v0/_p/shriram_code_name_dil_chahta_hai-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/731bee4e70d59e487e9601d23116071e/v0/large/shriram_code_name_dil_chahta_hai-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://img.youtube.com/vi/RCvjrzq3vfg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/4d6bddb5d902658faecfdcd5a27e7e92/v0/_p.jpeg']"
12,Pentagon City,"Attibele, South Bangalore, Bangalore",Residential Plots,,Price on request,1200.00 sq.ft. - 2400.00 sq.ft.,,,,"Pentagon City is a residential plot by Reputed Builder. This plot is available for sale in Attibele, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 2400.0 sq.ft.. The address of Pentagon City is Attibele.Pentagon City ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup.  The property is equipped with Fire Sprinklers.  It is an Earthquake Resistant Structure.Reputed Builder is a reputed developer firm established in 2001. The firm has since then developed 58274 and focuses on customer-centricity. Check out Pentagon City brochure for more details.Attibele is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/9c76f6ec3f37eb4c47233fa134ea880d/v0/_p/pentagon_city-attibele_1-hosur-reputed_builder.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/9c76f6ec3f37eb4c47233fa134ea880d/v0/large/pentagon_city-attibele_1-hosur-reputed_builder.jpeg']"
13,Om Shri Opulence,"42/3, Indlabele Road, Near Sarjapur Road, Attibele, South Bangalore, Bangalore","2, 3 BHK Apartments","Oct, 2019",3.00 K/sq.ft,870.00 sq.ft. - 1210.00 sq.ft.,1 Acres,2 Buildings - 40 units,"Aug, 2016","There are various amenities in Om Shri Opulence with Library, Cycling & Jogging Track, Gymnasium, Indoor Game Room Billiards/Snooker Table, Carom Board, Table Tennis, Foosball Table and Children's Play Area to name a few. Located close to prominent suburbs of Bangalore, the area of Bangalore Urban has prominent schools and hospitals within a close distance.","['https://is1-3.housingcdn.com/4f2250e8/1e9c9a613f3c7e1bb5efebe75e9205bc/v0/_p/om_shri_opulence-attibele_1-hosur-om_shri_infrastructures.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/1e9c9a613f3c7e1bb5efebe75e9205bc/v0/large/om_shri_opulence-attibele_1-hosur-om_shri_infrastructures.jpeg', 'https://img.youtube.com/vi/JcV0qg2hS-k/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/216f07dd0c1c206652d1e539c3ff5397/v0/_p.jpeg']"
14,Shriram Code Name Dil Chahta Hai,"Off Hosur Road, South Bangalore, Bangalore","2, 3 BHK Apartments","Jul, 2024",3.19 K/sq.ft,698.00 sq.ft. - 914.00 sq.ft.,18 Acres,634 units,"Dec, 2018","Shriram Code Name Dil Chahta Hai is a residential project developed by Shriram Properties Limited at Bangalore in Bangalore Urban. The project aims to offer a comfortable living condition to the residents by encompassing Children's Play Area, Amphitheatre, Swimming Pool and Skating Rink, adding to its existing many facilities.Unveiling the new tower under the name of Candolim ( Launching last and premium most tower with lakeview &  amenities facing units )","['https://is1-2.housingcdn.com/4f2250e8/731bee4e70d59e487e9601d23116071e/v0/_p/shriram_code_name_dil_chahta_hai-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/731bee4e70d59e487e9601d23116071e/v0/large/shriram_code_name_dil_chahta_hai-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://img.youtube.com/vi/RCvjrzq3vfg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/4d6bddb5d902658faecfdcd5a27e7e92/v0/_p.jpeg']"
15,Shriram Code Name Dil Chahta Hai,"Off Hosur Road, South Bangalore, Bangalore","2, 3 BHK Apartments","Jul, 2024",3.19 K/sq.ft,698.00 sq.ft. - 914.00 sq.ft.,18 Acres,634 units,"Dec, 2018","Shriram Code Name Dil Chahta Hai is a residential project developed by Shriram Properties Limited at Bangalore in Bangalore Urban. The project aims to offer a comfortable living condition to the residents by encompassing Children's Play Area, Amphitheatre, Swimming Pool and Skating Rink, adding to its existing many facilities.Unveiling the new tower under the name of Candolim ( Launching last and premium most tower with lakeview &  amenities facing units )","['https://is1-2.housingcdn.com/4f2250e8/731bee4e70d59e487e9601d23116071e/v0/_p/shriram_code_name_dil_chahta_hai-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/731bee4e70d59e487e9601d23116071e/v0/large/shriram_code_name_dil_chahta_hai-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://img.youtube.com/vi/RCvjrzq3vfg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/4d6bddb5d902658faecfdcd5a27e7e92/v0/_p.jpeg']"
16,Sobha Manhattan Towers Town Park Phase 1 W 4 And 5,"Phase 1 At Sy.No.48/1A, Yadavanahalli, Attibele, Bangalore",3 BHK Apartment,"Dec, 2026",8.98 K/sq.ft,1001.00 sq.ft. - 1176.00 sq.ft.,3.8 Acres (75% open),280 units,,"Sobha Limited has lauched Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 in Attibele, Bangalore. A residential project spread over 3.8 Acres , it offers ample amount of facilities for residents. It offers Under Construction units. Popular configurations include 3 BHK units. As per the area plan, units are in the size range of 1001.0 - 1176.0 sq.ft.. There are 280 units in Sobha Manhattan Towers Town Park Phase 1 W 4 And 5. The possession date of Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 is Dec, 2026. The address of Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 is Phase 1 At Sy.No.48/1A, Yadavanahalli, Attibele.Children have access to Children's Play Area, Kid's Pool, nearby apart from Swimming Pool. Ample provision for sports avenues such as Skating Rink. Other provisions include access to Sewage Treatment Plant. Own a home in Sobha Manhattan Towers Town Park Phase 1 W 4 And 5 today!.This is a RERA registered project with RERA ID PRM/KA/RERA/1251/308/PR/210518/004150, PRM/KA/RERA/1251/308/PR/210518/004151 and fulfils all conditions placed by the state regulatory body.This project has been developed by Sobha Limited. Sobha Limited is a reputed developer firm with experience in developing livable spaces for homebuyers since 1994.Yadavanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/dfe68f88a3e4dc54c9ae2c632b3f0895/v0/_p/sobha_manhattan_towers_town_park_phase_1_w_4_and_5-attibele_1-hosur-sobha_limited.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/dfe68f88a3e4dc54c9ae2c632b3f0895/v0/large/sobha_manhattan_towers_town_park_phase_1_w_4_and_5-attibele_1-hosur-sobha_limited.jpeg', 'https://is1-2.housingcdn.com/012c1500/1797cbb898f661505440c997788b13d2/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/5939043497ca19d8e30d5c534ad03605/v0/_p.jpeg']"
17,Shriram Code Name Dil Chahta Hai,"Off Hosur Road, South Bangalore, Bangalore","2, 3 BHK Apartments","Jul, 2024",3.19 K/sq.ft,698.00 sq.ft. - 914.00 sq.ft.,18 Acres,634 units,"Dec, 2018","Shriram Code Name Dil Chahta Hai is a residential project developed by Shriram Properties Limited at Bangalore in Bangalore Urban. The project aims to offer a comfortable living condition to the residents by encompassing Children's Play Area, Amphitheatre, Swimming Pool and Skating Rink, adding to its existing many facilities.Unveiling the new tower under the name of Candolim ( Launching last and premium most tower with lakeview &  amenities facing units )","['https://is1-2.housingcdn.com/4f2250e8/731bee4e70d59e487e9601d23116071e/v0/_p/shriram_code_name_dil_chahta_hai-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/731bee4e70d59e487e9601d23116071e/v0/large/shriram_code_name_dil_chahta_hai-attibele_1-hosur-shriram_properties_limited.jpeg', 'https://img.youtube.com/vi/RCvjrzq3vfg/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/4d6bddb5d902658faecfdcd5a27e7e92/v0/_p.jpeg']"
18,Ambika Arcade,"NH 207, Boodigere Road, Devanahalli, North Bangalore, Bangalore","1, 2, 3, 4 BHK Villas",Ready to Move,7.84 K/sq.ft,860.00 sq.ft. - 3175.00 sq.ft.,,,"Jun, 2018","Arcade is a residential property developed by Ambika Developer. It consists of villas and plots of area 845 - 1800 sq. ft. It has a total built-up area of 1,200 - 2,400 sq. ft. the property is ready to move into.Devanahalli has a decent social infrastructure. There are several hospitals, schools, colleges, malls, parks and more in the surroundings. This makes life comfortable for those who live in this region. It is considered to be one of the fastest-growing suburbs in the city. This region houses the international airport and has invited massive investments from both private and public sectorAs a great property located in a promising region of the city, Arcade is a property you can look forward to. Make sure you get your hands on this property by dialing our number right away.","['https://is1-3.housingcdn.com/4f2250e8/1568f18d66f10026dc77d4320968fb8f/v0/_p/ambika_arcade-devanahalli-bengaluru-ambika_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/1568f18d66f10026dc77d4320968fb8f/v0/large/ambika_arcade-devanahalli-bengaluru-ambika_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/fff326afcceca33fd7161acd934bab0b/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/0b9e2d298820a81c24255c3873867397/v0/_p.jpeg']"
19,Bhumi Canterburry Meadows,"Dandudasakodegahalli Village, Toobagere Hobli, Doddaballapur, North Bangalore, Bangalore",Residential Plots,Ready to Move,1.50 K/sq.ft,888.00 sq.ft. - 2400.00 sq.ft.,11.73 Acres,314 units,"Aug, 2019","Bhumi Canterburry Meadows is a residential plot by Bhumi Constructions Developers. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 888.0 sq.ft. and the maximum size is 2400.0 sq.ft.. This project was launched on September 2019. There are 314 units in Bhumi Canterburry Meadows. The address of Bhumi Canterburry Meadows is Dandudasakodegahalli Village, Toobagere Hobli, Doddaballapur.Bhumi Canterburry Meadows ensures a coveted lifestyle and offers a convenient living.  For families with kids, there is Children's Play Area, nearby apart from Swimming Pool.  Residents can also enjoy Spa/Sauna/Steam, Library, Conference Room, provisions in the project. It is aGated Community. Other provisions include access to Party Hall, Landscaped Garden, Street Lighting, Water Storage, Multipurpose Room.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1250/301/PR/180120/001845.The firm has since then developed 3 and focuses on customer-centricity. Check out Bhumi Canterburry Meadows brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/2916ef636d95a62ff0fd565a105aa923/v0/_p/bhumi_canterburry_meadows-devanahalli-bengaluru-bhumi_constructions_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/2916ef636d95a62ff0fd565a105aa923/v0/large/bhumi_canterburry_meadows-devanahalli-bengaluru-bhumi_constructions_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/7e8990a3833bc1fd0f264421d0b5e0e0/v0/_p.jpg', 'https://is1-2.housingcdn.com/012c1500/15ef9043cfa4d1ac0e762542f95a3b83/v0/_p.jpeg']"
20,Salarpuria Park Cubix,"NH 207, Devanahalli, North Bangalore, Bangalore","1, 2, 3 BHK Apartments","Sep, 2022",6.98 K/sq.ft,442.00 sq.ft. - 1003.00 sq.ft.,18 Acres,21 Buildings - 810 units,"Sep, 2017","Salarpuria Park Cubix is a project by Salarpuria Sattva in Bangalore. It is a Under Construction project. Salarpuria Park Cubix offers some of the most conveniently designed Apartment. Located in Devanahalli, it is a residential project. The project is spread over 18 Acres . It has 810 units. There are 21 buildings in this project. Salarpuria Park Cubix offers some of the most exclusive 1 BHK, 2 BHK, 3 BHK. As per the area plan, units are in the size range of 442.0 - 1003.0 sq.ft.. Launched in September 2017, Salarpuria Park Cubix is slated for possession in Sep, 2022. The address of Salarpuria Park Cubix is NH 207, Devanahalli.Salarpuria Park Cubix ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool, Sports Area, Recreation Facilities. Sports enthusiasts can also make the most of Tennis Court, Cricket Pitch, Squash Court, Skating Rink, Aerobics Room, Basketball Court, Badminton Court, Cycling & Jogging Track. Residents can also enjoy ATM, Barbecue Area, Spa/Sauna/Steam, Library provisions in the project. There is 24x7 Security. It is a Gated Community. There is provision for Closed Car Parking.Bank loan is approved from major banks such as LIC Housing Finance, HDFC. Salarpuria Park Cubix is now available with attractive Pay10% now & Own your home.The project is RERA approved. For details, check RERA ID PRM/KA/RERA/1250/303/PR/171023/001749.Salarpuria Sattva is a reputed developer firm established in 1986. The firm has since then developed 63 projects and focuses on customer-centricity.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/461b6b151c705ae547fbd45c9848457d/v0/_p/salarpuria_park_cubix-devanahalli-bengaluru-salarpuria_sattva.jpg', 'https://is1-2.housingcdn.com/4f2250e8/461b6b151c705ae547fbd45c9848457d/v0/large/salarpuria_park_cubix-devanahalli-bengaluru-salarpuria_sattva.jpg', 'https://img.youtube.com/vi/XuK8_CV-_K8/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/151c633bd9f71d7dbe3e87a60863c3ea/v2/_p.jpg']"
21,Salarpuria Sattva Serene Life,"Opp Mc Donalds, NH7, Shettigere, Near Toll Gate, Sadahalli Gate Right, Yerthiganahalli, Devanahalli, North Bangalore, Bangalore",Residential Plots,"Jun, 2019",4.99 K/sq.ft,1163.00 sq.ft. - 3875.00 sq.ft.,32.27 Acres,409 units,"Nov, 2018","Salarpuria Sattva Serene Life is a residential plot by Salarpuria Sattva. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1163.0 sq.ft. and the maximum size is 3875.0 sq.ft.. This project was launched on December 2018. There are 409 units in Salarpuria Sattva Serene Life. The address of Salarpuria Sattva Serene Life is Opp Mc Donalds, NH7, Shettigere, Near Toll Gate, Sadahalli Gate Right, Yerthiganahalli, Devanahalli.Salarpuria Sattva Serene Life ensures a coveted lifestyle and offers a convenient living. Sports enthusiasts can also make the most of Squash Court, Badminton Court, Cycling & Jogging Track. Other provisions include access to Party Hall, Landscaped Garden, Landscaping & Tree Planting, Storm Water Drains, Sewage Treatment Plant, Multipurpose Room.Salarpuria Sattva Serene Life is now available with attractive Pay 25% now & Own your home.This residential land for sale is RERA approved. For details, check RERA ID PRM/KA/RERA/1250/303/PR/181215/002219.Salarpuria Sattva is a reputed developer firm established in 1986. The firm has since then developed 63 and focuses on customer-centricity. Check out Salarpuria Sattva Serene Life brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/df54498291fc9c4d0e2ca467d2e70b38/v0/_p/salarpuria_sattva_serene_life-devanahalli-bengaluru-salarpuria_sattva.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/df54498291fc9c4d0e2ca467d2e70b38/v0/large/salarpuria_sattva_serene_life-devanahalli-bengaluru-salarpuria_sattva.jpeg', 'https://img.youtube.com/vi/Ux9NissjXEk/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/508cfb61df1beaac32fc005ea57f45dd/v0/_p.jpeg']"
22,Nayak Golden Fields,"Channaraypatna Hobli, Devanahalli, North Bangalore, Bangalore",Residential Plots,"Feb, 2022",1.20 K/sq.ft,1200.00 sq.ft. - 4000.00 sq.ft.,25 Acres,400 units,"Mar, 2020","Residential project, Ramegowda Golden Fields in Bangalore is offering units for sale in Devanahalli. Possession date of Ramegowda Golden Fields is Mar, 2023. The project by Ramegowda H is set in 3.29 Acres. Contact for further details. Ramegowda Golden Fields is located in Survey No- 33/1a, 33/1b1, 33/1b2, 33/1b3 & 33/2, Jonnahallli Village, Devanahalli.Ramegowda Golden Fields follows all rules as prescribed by the state RERA. All details are furnished on the RERA portal as well.ID is PRM/KA/RERA/1250/303/PR/200323/003384.Ramegowda H is a very well-known developer-firm in this real estate market. Residents and their lifestyle are at the centre of their developments.Prominent suburbs of Bangalore are close by to Devanahalli and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-3.housingcdn.com/012c1500/12ac6ab02212e27c631345d8ff66721c/v0/_p/nayak_golden_fields-devanahalli-bengaluru-nayak_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/12ac6ab02212e27c631345d8ff66721c/v0/large/nayak_golden_fields-devanahalli-bengaluru-nayak_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/12ac6ab02212e27c631345d8ff66721c/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/19237ade48eef322390b328a4fa645f1/v0/_p.jpeg']"
23,Nayak Golden Fields,"Channaraypatna Hobli, Devanahalli, North Bangalore, Bangalore",Residential Plots,"Feb, 2022",1.20 K/sq.ft,1200.00 sq.ft. - 4000.00 sq.ft.,25 Acres,400 units,"Mar, 2020","Residential project, Ramegowda Golden Fields in Bangalore is offering units for sale in Devanahalli. Possession date of Ramegowda Golden Fields is Mar, 2023. The project by Ramegowda H is set in 3.29 Acres. Contact for further details. Ramegowda Golden Fields is located in Survey No- 33/1a, 33/1b1, 33/1b2, 33/1b3 & 33/2, Jonnahallli Village, Devanahalli.Ramegowda Golden Fields follows all rules as prescribed by the state RERA. All details are furnished on the RERA portal as well.ID is PRM/KA/RERA/1250/303/PR/200323/003384.Ramegowda H is a very well-known developer-firm in this real estate market. Residents and their lifestyle are at the centre of their developments.Prominent suburbs of Bangalore are close by to Devanahalli and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-3.housingcdn.com/012c1500/12ac6ab02212e27c631345d8ff66721c/v0/_p/nayak_golden_fields-devanahalli-bengaluru-nayak_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/12ac6ab02212e27c631345d8ff66721c/v0/large/nayak_golden_fields-devanahalli-bengaluru-nayak_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/12ac6ab02212e27c631345d8ff66721c/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/19237ade48eef322390b328a4fa645f1/v0/_p.jpeg']"
24,Bhishma Greens,"Devanahalli, North Bangalore, Bangalore",Residential Plots,"Apr, 2025",909/sq.ft,1200.00 sq.ft. - 4000.00 sq.ft.,25 Acres,450 units,"Dec, 2021","Bhishma Greens is a residential plot by Blue Bell Global Shelters. This plot is available for sale in Devanahalli, Bangalore. This project offers plots in various sizes. The minimum plot size is 1200.0 sq.ft. and the maximum size is 4000.0 sq.ft.. This project was launched on January 2022. There are 450 units in Bhishma Greens. The address of Bhishma Greens is Devanahalli.Bhishma Greens ensures a coveted lifestyle and offers a convenient living. Other provisions include access to Storm Water Drains, Sewage Treatment Plant.The firm has since then developed 1 and focuses on customer-centricity. Check out Bhishma Greens brochure for more details.Devanahalli is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/fdd7c8f70e65ff23dd4a8845ba2e7e92/v0/_p/bhishma_greens-devanahalli-bengaluru-blue_bell_global_shelters.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/fdd7c8f70e65ff23dd4a8845ba2e7e92/v0/large/bhishma_greens-devanahalli-bengaluru-blue_bell_global_shelters.jpeg', 'https://is1-2.housingcdn.com/012c1500/032068e06ccd0198f9de8b22939230b6/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/2a8e88d3e71ab00d302129f50051313b/v0/_p.jpeg']"
25,Utopiaa,"Devanahalli, Chickkaballapura, North Bangalore, Bangalore",Residential Plots,Ready to Move,Price on request,2178.00 sq.ft.,,,,"BRC Utopia is a residential plot by Bangalore Real Estate Company. This plot is available for sale in Chikkaballapura, Bangalore. The plot area is 2178.0 sq.ft.. The address of BRC Utopia is New Airport Road, Chikballapur.BRC Utopia ensures a coveted lifestyle and offers a convenient living.  There is 24x7 Security. Other provisions include access to Landscaping & Tree Planting.This residential land for sale is RERA approved. For details, check RERA ID Rera Not Required.The firm has since then developed 2 and focuses on customer-centricity. Check out BRC Utopia brochure for more details.Chikkaballapura is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/d87e9b06256f6abf8f0656f88ab5646c/v0/_p/utopiaa-devanahalli-bengaluru-bangalore_real_estate_company.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/d87e9b06256f6abf8f0656f88ab5646c/v0/large/utopiaa-devanahalli-bengaluru-bangalore_real_estate_company.jpeg', 'https://is1-2.housingcdn.com/012c1500/739a227f1385a1c05d394efbae4e2f1c/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/10a35064f68c20e3acf2cb9fa0e197ff/v0/_p.jpeg']"
26,Brigade Orchards,"NH 207, Budigere Road, Devanahalli, North Bangalore, Bangalore","2, 3 BHK Apartment, Villas",Ready to Move,4.44 K/sq.ft,1080.00 sq.ft. - 1760.00 sq.ft.,,,,"Brigade Orchards is a residential project in Devanahalli, Bangalore. Brigade Orchards offers Apartment. Available configurations include 2 BHK, 3 BHK. Apartment, as per the area plan, are in the size range of 1080.0 - 1760.0 sq.ft.. The property is Ready to Move. Brigade Orchards is located in NH 207, Budigere Road, Devanahalli. The project is developed by Brigade Enterprises Ltd.Brigade Orchards is equipped with various resident-centric amenities that includes Gymnasium, Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Tennis Court, Aerobics Room, Basketball Court, Badminton Court, Cycling & Jogging Track - these are some avenues for sports lovers. Residents can make use of ATM, Library, provisions in the project. There is 24x7 Security. Enjoy a class-apart lifestyle at Brigade Orchards.Located close to prominent suburbs of Bangalore, the area of Devanahalli has prominent schools and hospitals within a close distance.","['https://is1-3.housingcdn.com/4f2250e8/f3bc5ce2b48e03c585b4afd47077f483/v6/_p/brigade_orchards-devanahalli-bengaluru-brigade_enterprises_ltd.jpg', 'https://is1-3.housingcdn.com/4f2250e8/f3bc5ce2b48e03c585b4afd47077f483/v6/large/brigade_orchards-devanahalli-bengaluru-brigade_enterprises_ltd.jpg', 'https://img.youtube.com/vi/E92j2ae11Qs/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/437bd18bc56b6a18ed0dcf1cbdfb573d/v0/_p.jpeg']"
27,BCV Pavilion Villas at Brigade Orchards,"Devanahalli, Bangalore North, Bangalore",4 BHK Villa,,6.61 K/sq.ft,4900.00 sq.ft. - 4940.00 sq.ft.,130 Acres,,,"Residential project, BCV Pavilion Villas at Brigade Orchards in Bangalore is offering units for sale in Bychapura. Check out some Villa that suit your lifestyle and liking. The property offers 4 BHK units. As per the area plan, units are in the size range of 4900.0 - 4940.0 sq.ft.. The project by BCV Developers is set in 130 Acres . There is 1 building in this project. Contact for further details. BCV Pavilion Villas at Brigade Orchards is located in Devanahalli, Bangalore North.In terms of facilities, BCV Pavilion Villas at Brigade Orchards is loaded with multiple offerings such as Gymnasium, Power Backup. For families with kids, there is Children's Play Area, School, nearby apart from Swimming Pool, Sports Area. Immerse yourself in a world of sports with provisions for Golf Course. There is 24x7 Security.Bank financing is approved by the following financial institutions such as HDFC, ICICI Bank.BCV Developers is a very well-known developer-firm in this real estate market. Residents and their lifestyle are at the centre of their developments.Prominent suburbs of Bangalore are close by to Bychapura and with several schools, hospitals, banks and offices situated in the proximity, the project is a preferred choice for home seekers.","['https://is1-2.housingcdn.com/4f2250e8/d6f4c42dc7a560c0c61241c0432f4618/v0/_p/bcv_pavilion_villas_at_brigade_orchards-devanahalli-bengaluru-bcv_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/d6f4c42dc7a560c0c61241c0432f4618/v0/large/bcv_pavilion_villas_at_brigade_orchards-devanahalli-bengaluru-bcv_developers.jpeg', 'https://is1-2.housingcdn.com/012c1500/3ca9a377317d83d53212b9d743611c29/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/0324fdbcc4b3f2913b0960a835c2ecd1/v0/_p.jpeg']"
