,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,About,images,Project Area
60,N Square West Woods,"Velimala, Kollur, Hyderabad",3 BHK Villa,"Jan, 2024",3.85 K/sq.ft,2600.00 sq.ft. - 3900.00 sq.ft.,,"Dec, 2021","N Square Projects has lauched N Square West Woods in Sheriguda, Hyderabad. A residential project spread over 11 Acres , it offers ample amount of facilities for residents. The project was launched in January 2022. It offers Under Construction units. Popular configurations include 3 BHK units. As per the area plan, units are in the size range of 2600.0 - 3900.0 sq.ft.. The possession date of N Square West Woods is Jan, 2024. The address of N Square West Woods is Velimala, Kollur.Ample provision for sports avenues such as Cricket Pitch, Squash Court. Other provisions include access to Banquet Hall. Own a home in N Square West Woods today!.This project has been developed by N Square Projects. N Square Projects is a reputed developer firm with experience in developing livable spaces for homebuyers since 2005.Sheriguda is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/da3946dac1057db529b1980820c04f19/v0/_p/n_square_west_woods-kollur-medak-n_square_projects.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/da3946dac1057db529b1980820c04f19/v0/large/n_square_west_woods-kollur-medak-n_square_projects.jpeg', 'https://is1-3.housingcdn.com/012c1500/1dc949f9e333ebb4ed7e3d39ea75bea1/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/25d1ca5b0dde8a87960426bd6ef8b6d7/v0/_p.jpeg']",11 Acres
61,Bhuvanteza Aura II,"Velimala, Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",2.38 K/sq.ft,1145.00 sq.ft. - 2415.00 sq.ft.,4 Buildings - 430 units,"Oct, 2021","Bhuvanteza Infrastructures LLP has lauched Bhuvanteza Aura II in Kollur, Hyderabad. A residential project spread over 4.75 Acres , it offers ample amount of facilities for residents. The project was launched in November 2021. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1145.0 - 2415.0 sq.ft.. There are 430 units in Bhuvanteza Aura II. Overall, there are 4 buildings. The possession date of Bhuvanteza Aura II is Dec, 2024. The address of Bhuvanteza Aura II is Velimala, Kollur.Enjoy a host of facilities at Bhuvanteza Aura II which includes Gymnasium, Power Backup. Children have access to Children's Play Area, nearby apart from Swimming Pool. There is 24x7 Security. Own a home in Bhuvanteza Aura II today!.This project has been developed by Bhuvanteza Infrastructures LLP.Kollur is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/3de70a9852a2f3f6b295a6a14266e643/v0/_p/bhuvanteza_aura_ii-kollur-hyderabad-bhuvanteza_infrastructures_llp.png', 'https://is1-3.housingcdn.com/4f2250e8/3de70a9852a2f3f6b295a6a14266e643/v0/large/bhuvanteza_aura_ii-kollur-hyderabad-bhuvanteza_infrastructures_llp.png', 'https://img.youtube.com/vi/06lQHNogBCE/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/55e8d224ab1fb5a34da69237c4273f15/v0/_p.png']",4.75 Acres
62,EVK Avasa,"Kollur, West Hyderabad, Hyderabad","2, 3 BHK Apartments","Jun, 2023",3.20 K/sq.ft,1000.00 sq.ft. - 2000.00 sq.ft.,200 units,,"Evk Projects has lauched EVK Avasa in Kollur, Hyderabad. It offers Under Construction units. Popular configurations include 2 BHK, 3 BHK units. As per the area plan, units are in the size range of 1000.0 - 2000.0 sq.ft.. There are 200 units in EVK Avasa. The possession date of EVK Avasa is Jun, 2023. The address of EVK Avasa is Kollur.Enjoy a host of facilities at EVK Avasa which includes Gymnasium, Power Backup. Children have access to Children's Play Area, nearby apart from Swimming Pool. Ample provision for sports avenues such as Cricket Pitch, Basketball Court, Cycling & Jogging Track. There is 24x7 Security. Other provisions include access to Party Hall, Landscaping & Tree Planting. Own a home in EVK Avasa today!.This project has been developed by Evk Projects.Kollur is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/ccb96871676c3f994ea6d20bccf79d93/v0/_p/evk_avasa-kollur-hyderabad-evk_projects.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/ccb96871676c3f994ea6d20bccf79d93/v0/large/evk_avasa-kollur-hyderabad-evk_projects.jpeg', 'https://is1-3.housingcdn.com/012c1500/669ffe07d8d98280cf80a13554eb6613/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/77f3d89ccf9988a28781291cc305832e/v0/_p.jpg']",
63,Vajra The Royal Park,"Bowrampet, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",4.20 K/sq.ft,1275.00 sq.ft. - 1675.00 sq.ft.,6 Buildings - 760 units,,"Looking for Apartment in Bowrampet, Hyderabad?. Vajra The Royal Park is a project by Vajra Builders And Developers. The project is offering 2 BHK, 3 BHK. Vajra The Royal Park is a Under Construction residential project. There are 760 units. There are 6 buildings in this project. As per the area plan, units are in the size range of 1275.0 - 1675.0 sq.ft.. Vajra The Royal Park is located in Bowrampet.Vajra The Royal Park offers a host of facilities for residents. This includes Power Backup. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. Sportsies can use Cycling & Jogging Track. All residents have access to Internet / Wi-Fi, provisions in the project. There is 24x7 Security. These amenities in Vajra The Royal Park are those that every homebuyer aspires for!.Vajra Builders And Developers is a reputed building firm with 2 projects since its inception in 2015.Bowrampet is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/1167ae45788f0d3c259afff79484d513/v0/_p/vajra_the_royal_park-bowrampet-hyderabad-vajra_builders_and_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/1167ae45788f0d3c259afff79484d513/v0/large/vajra_the_royal_park-bowrampet-hyderabad-vajra_builders_and_developers.jpeg', 'https://img.youtube.com/vi/XsKL3BsT8L8\t/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/06f8f97ceebb74de1e6010fe30171601/v0/_p.jpeg']",
64,RNG Supra Avenue,"Bowrampet, North Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2023",3.75 K/sq.ft,1063.00 sq.ft. - 1450.00 sq.ft.,,"Nov, 2021","Check out this residential project for sale by RNG Infra in Bowrampet, Hyderabad. RNG Supra Avenue offers Apartment as property type. It is currently Under Construction. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1063.0 - 1450.0 sq.ft.. RNG Supra Avenue was launched in November 2021. RNG Supra Avenue possession is Mar, 2023. The address of RNG Supra Avenue is Bowrampet.At RNG Supra Avenue, all residents have easy access to some of the truly desired facilities such as Power Backup. The property has Fire Sprinklers. Come home to RNG Supra Avenue.RNG Infra is a renowned developer firm.Bowrampet is a prime area, with many attractions work and recreational options just a drive away.","['https://is1-2.housingcdn.com/4f2250e8/70acbd76b28773884768dfb54a17bc32/v0/_p/rng_supra_avenue-bowrampet-hyderabad-rng_infra.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/70acbd76b28773884768dfb54a17bc32/v0/large/rng_supra_avenue-bowrampet-hyderabad-rng_infra.jpeg', 'https://is1-2.housingcdn.com/012c1500/933c1a4ca8e5294d48015fb2e588b7f8/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/1f033935fda1f5aa7c666b64679d56dd/v0/_p.jpeg']",
65,Param Heights,"Bachupally, Pragati Nagar Exit, North Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2023",4.50 K/sq.ft,1198.00 sq.ft. - 1708.00 sq.ft.,2 Buildings - 80 units,,"Hyderabad's residential project, Param Heights is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK formats in Bollaram Industrial Area. It is a Under Construction project by SUNYUGA INFRA PVT LTD. As per the area plan, units are in the size range of 1198.0 - 1708.0 sq.ft.. There are 80 units in Param Heights. There are 2 buildings. Param Heights is located in Bachupally.There are multiple amenities for residents at Param Heights which includes Gymnasium, Power Backup. Own a home in Param Heights today!.Bollaram Industrial Area is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/50079fc867f359710b376927f22971ef/v0/_p/param_heights-bowrampet-hyderabad-sunyuga_infra_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/50079fc867f359710b376927f22971ef/v0/large/param_heights-bowrampet-hyderabad-sunyuga_infra_pvt_ltd.jpeg', 'https://img.youtube.com/vi/EE-KFmKx4js/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0e1c60bd2ce84ff885bf6822c1b11187/v0/_p.jpeg']",
66,Vajra Nature City,"Bowrampet, Bachupally, North Hyderabad, Hyderabad",4 BHK Villa,"May, 2022",7.00 K/sq.ft,2300.00 sq.ft.,66 units,"Oct, 2020","Property for sale in Bachupally, Hyderabad. This project, that is, Vajra Nature City is a well designed project by Vajra Builders And Developers. It is offering Under Construction units. If you are looking at Villa, you should check out Vajra Nature City. Set in an expanse of 3.49 Acres , the property offers a remarkable lifestyle. Available configurations include 4 BHK. As per the area plan, units are in the size of 2300.0 sq.ft.. Vajra Nature City was launched in October 2020. Project possession is slated for May, 2022. Total number of flats at Vajra Nature City is 66. Vajra Nature City is located in Bowrampet, Bachupally. There are 66 units in this residential project.Come home to Vajra Nature City. It offers multiple facilities such as Gymnasium. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Badminton Court, Cycling & Jogging Track. There is 24x7 Security. It is a Gated Community. There is provision for Closed Car Parking, Visitor Parking. These amenities make this property totally aspirational.Vajra Nature City has all approvals in place as mandated by the state regulatory authority. RERA ID of this project is P02200002191.Vajra Builders And Developers is a renowned name in the real estate space.Social infrastructure like banks, schools and parks surround Bowrampet area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-2.housingcdn.com/4f2250e8/1a79638d810e89b53fc33e75219eb8e0/v0/_p/vajra_nature_city-bachupally-hyderabad-vajra_builders_and_developers.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/1a79638d810e89b53fc33e75219eb8e0/v0/large/vajra_nature_city-bachupally-hyderabad-vajra_builders_and_developers.jpeg', 'https://img.youtube.com/vi/gAk-Raamt8w/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/1e96383e913907aa77da881d67197e68/v0/_p.jpeg']",3.49 Acres
67,Param Heights,"Bachupally, Pragati Nagar Exit, North Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2023",4.50 K/sq.ft,1198.00 sq.ft. - 1708.00 sq.ft.,2 Buildings - 80 units,,"Hyderabad's residential project, Param Heights is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK formats in Bollaram Industrial Area. It is a Under Construction project by SUNYUGA INFRA PVT LTD. As per the area plan, units are in the size range of 1198.0 - 1708.0 sq.ft.. There are 80 units in Param Heights. There are 2 buildings. Param Heights is located in Bachupally.There are multiple amenities for residents at Param Heights which includes Gymnasium, Power Backup. Own a home in Param Heights today!.Bollaram Industrial Area is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-2.housingcdn.com/4f2250e8/50079fc867f359710b376927f22971ef/v0/_p/param_heights-bowrampet-hyderabad-sunyuga_infra_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/50079fc867f359710b376927f22971ef/v0/large/param_heights-bowrampet-hyderabad-sunyuga_infra_pvt_ltd.jpeg', 'https://img.youtube.com/vi/EE-KFmKx4js/hqdefault.jpg', 'https://is1-2.housingcdn.com/012c1500/0e1c60bd2ce84ff885bf6822c1b11187/v0/_p.jpeg']",
68,Tripura Landmark III,"Plot No. 2, Laxmi Ganpathi Nilayam, Road Number 76, Film Nagar Above Bank Of India, Opp To Film Nagar Temple, Bachupally, North Hyderabad, Hyderabad",3 BHK Villa,"May, 2022",7.14 K/sq.ft,2092.00 sq.ft. - 2126.00 sq.ft.,106 units,"Jul, 2018","Hyderabad's residential project, Tripura Landmark III is offering property for sale. Check out some Villa. Available configurations include 3 BHK formats in Bowrampet. It is a Under Construction project by Tripura Constructions. Tripura Landmark III is set in an area of 8 Acres  and is complete with various modern-day amenities. As per the area plan, units are in the size range of 2092.0 - 2126.0 sq.ft.. Tripura Landmark III was launched in July 2018 and possession date is May, 2022. There are 106 units in Tripura Landmark III. Tripura Landmark III is located in Plot No. 2, Laxmi Ganpathi Nilayam, Road Number 76, Film Nagar Above Bank Of India, Opp To Film Nagar Temple, Bachupally.There are multiple amenities for residents at Tripura Landmark III which includes Gymnasium, Power Backup. The property has Fire Sprinklers. There is 24x7 Security. Other provisions include access to Banquet Hall, Landscaped Garden, Storm Water Drains, Sewage Treatment Plant, Multipurpose Room. Own a home in Tripura Landmark III today!.Banks such as HDFC have approved financing for Tripura Landmark III.Tripura Landmark III is a RERA registered project with ID P02400000818.Bowrampet is well-connected to other parts of city by road, which passes through the heart of this suburb.  Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.","['https://is1-3.housingcdn.com/4f2250e8/4e920fb69b107e8636881b4b2b25768e/v0/_p/tripura_landmark_iii-bachupally-hyderabad-tripura_constructions.jpg', 'https://is1-3.housingcdn.com/4f2250e8/4e920fb69b107e8636881b4b2b25768e/v0/large/tripura_landmark_iii-bachupally-hyderabad-tripura_constructions.jpg', 'https://img.youtube.com/vi/TtPGBjyHDqY/hqdefault.jpg', 'https://is1-3.housingcdn.com/012c1500/0f7dbbb3b7e75dd303315ba6c1ad8fc9/v0/_p.jpg']",8 Acres
69,Ace Amura,"Ghatkesar, Pocharam, East Hyderabad, Hyderabad",2 BHK Apartment,"Dec, 2024",4.29 K/sq.ft,932.00 sq.ft. - 950.00 sq.ft.,1 Building - 208 units,"Jan, 2022","Ace Amura is a G+5 floors smart home gated community just beside Infosys in Pocharam. It is designed to be an ideal home for a 4-member family. The three USPs of Amura are 1. All the features you expect in a gated community at a most convenient EMI of 25k per month 2. Smart home automation inside the flat and in the community 3. 10 awesome spaces for kids learning, entertainment, and play - 5 indoor and 5 outdoor spaces catering to kids of all ages.","['https://is1-3.housingcdn.com/4f2250e8/da3d3ef44f41ba346bb4204081d39892/v0/_p/ace_amura-pocharam_telangana_2-hyderabad-ace_ventures_india_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/da3d3ef44f41ba346bb4204081d39892/v0/large/ace_amura-pocharam_telangana_2-hyderabad-ace_ventures_india_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/91aba65c/8c8e8beb4ded49ee731e83310b13e3da/v0/_p.png', 'https://is1-2.housingcdn.com/91aba65c/fe865f9d8ae29f324209e63afd89ce37/v0/_p.png']",1.78 Acres
70,Aalaya,"Narapally, Korremula, East Hyderabad, Hyderabad",3 BHK Apartment,"Dec, 2024",5.00 K/sq.ft,1546.00 sq.ft. - 1916.00 sq.ft.,1 Building - 118 units,,"• Ace Aalaya is a gated community of premium 3 BHK apartments available in standard (1550 sft), medium (1700 sft) and large (1900 sft) sizes . Located 15 minutes from Uppal, at Narapally on the Hyderabad-Warangal highway.• The project is designed in the characteristic fusion architectural style of Ace Ventures which makes the building a visual landmark in the locality. Superior quality is ensured by using several superior building techniques such as red brick construction, plywood shuttering for slab, epoxy grouting for toilets, premium textured exterior paints, smooth 2 coat emulsion interior paint and usage of branded fixtures.• Each house contains wide living and dining spaces and extra wide balconies. All modern lifestyle amenities are available, including clubhouse, gym, creche, smart community app connectivity, CCTV surveillance and many more.• Avail easy home loans from all leading banks.","['https://is1-2.housingcdn.com/4f2250e8/54b6bda5a04dac3a99a8f2cb9e133a5e/v0/_p/aalaya-boduppal-hyderabad-ace_ventures_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54b6bda5a04dac3a99a8f2cb9e133a5e/v0/large/aalaya-boduppal-hyderabad-ace_ventures_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/f781d3518f00358633a5e885a774a5a3/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/85721d8ff178a4ce4422bc4b25a0edc2/v0/_p.jpeg']",1.88 Acres
71,AV Magnifique,"Uppal, Naarapally, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.40 K/sq.ft,1205.00 sq.ft. - 2100.00 sq.ft.,2 Buildings - 350 units,,"Property for sale in Narapally, Hyderabad. This project, that is, AV Magnifique is a well designed project by AV Infracon Pvt Ltd. It is offering Under Construction units. If you are looking at Apartment, you should check out AV Magnifique. Set in an expanse of 3 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1205.0 - 2100.0 sq.ft.. Project possession is slated for Dec, 2024. There are 2 buildings  in this project. Total number of flats at AV Magnifique is 350. AV Magnifique is located in Uppal, Naarapally, Pocharam. There are 350 units in this residential project.Come home to AV Magnifique. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Badminton Court, Cycling & Jogging Track. There is 24x7 Security. It is a Gated Community. There is provision for Open Car Parking. These amenities make this property totally aspirational.AV Infracon Pvt Ltd is a renowned name in the real estate space.Social infrastructure like banks, schools and parks surround Narapally area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-3.housingcdn.com/4f2250e8/4dc9f229f2f222a3402c86f89b4846fb/v0/_p/av_magnifique-narapally-hyderabad-av_infracon_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/4dc9f229f2f222a3402c86f89b4846fb/v0/large/av_magnifique-narapally-hyderabad-av_infracon_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/1ec77a74cedd8bac18bf33d3e24e7c8d/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/2a1237f3bfaf4d4da981e485997e287f/v0/_p.jpeg']",3 Acres
72,Srigdha Rising East,"Korremula, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2024",Price on request,1373.00 sq.ft. - 1994.00 sq.ft.,9 Buildings - 420 units,,"Check out this residential project for sale by Srigdha Infra Developers in Korremula, Hyderabad. Srigdha Rising East offers Apartment as property type. The project has been developed in an area of 6.38 Acres . It is currently Under Construction. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1373.0 - 1994.0 sq.ft.. Srigdha Rising East possession is Mar, 2024. Altogether, there are 420 units available. There are 9 buildings in this property. The address of Srigdha Rising East is Korremula, Pocharam.Some other provisions include access to Energy management, Landscaping & Tree Planting, Storm Water Drains, Sewage Treatment Plant, There is provision for Closed Car Parking. Come home to Srigdha Rising East.Srigdha Rising East is approved by the state regulatory authority and the RERA ID is P02200003059.Srigdha Infra Developers is a renowned developer firm.Korremula is a prime area, with many attractions work and recreational options just a drive away.",[],6.38 Acres
73,Aalaya,"Narapally, Korremula, East Hyderabad, Hyderabad",3 BHK Apartment,"Dec, 2024",5.00 K/sq.ft,1546.00 sq.ft. - 1916.00 sq.ft.,1 Building - 118 units,,"• Ace Aalaya is a gated community of premium 3 BHK apartments available in standard (1550 sft), medium (1700 sft) and large (1900 sft) sizes . Located 15 minutes from Uppal, at Narapally on the Hyderabad-Warangal highway.• The project is designed in the characteristic fusion architectural style of Ace Ventures which makes the building a visual landmark in the locality. Superior quality is ensured by using several superior building techniques such as red brick construction, plywood shuttering for slab, epoxy grouting for toilets, premium textured exterior paints, smooth 2 coat emulsion interior paint and usage of branded fixtures.• Each house contains wide living and dining spaces and extra wide balconies. All modern lifestyle amenities are available, including clubhouse, gym, creche, smart community app connectivity, CCTV surveillance and many more.• Avail easy home loans from all leading banks.","['https://is1-2.housingcdn.com/4f2250e8/54b6bda5a04dac3a99a8f2cb9e133a5e/v0/_p/aalaya-boduppal-hyderabad-ace_ventures_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/4f2250e8/54b6bda5a04dac3a99a8f2cb9e133a5e/v0/large/aalaya-boduppal-hyderabad-ace_ventures_india_pvt_ltd.jpeg', 'https://is1-2.housingcdn.com/012c1500/f781d3518f00358633a5e885a774a5a3/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/85721d8ff178a4ce4422bc4b25a0edc2/v0/_p.jpeg']",1.88 Acres
74,Surya Galaxy Towers,"Pocharam, Near Ghatkesar, HYD, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2022",4.50 K/sq.ft,1091.00 sq.ft. - 1568.00 sq.ft.,2 Buildings - 114 units,"May, 2018","Galaxy Towers is set in the splendid Pocharam, Hyderabad and magnificently blends with the environment making it luxurious living experience for residents. Ready for possession in Mar, 2022n, this is a project is a great investment in the entire vicinity. Stunning landscape, beautiful internal roads and first-class amentias, Galaxy Towers can make a regular day feel like a vacation. The project has been offered by Surya Constructions Habsiguda. The interior as well as the exterior of the project is completed by experts and the aesthetic appeal of the project that pays special attention to details provides the residential area a wonderful setting to live peacefully. Plush and spacious residences at Galaxy Towers are scrupulously designed to radiate finesse from every angle and are enough to turn heads but its the exotic view that makes it the best in the neighborhood. These 2 and 3 BHK apartments are ideal for families looking for their home sweet home.","['https://is1-3.housingcdn.com/4f2250e8/2f90046e136b71339a18c6c42039a17a/v0/_p/surya_galaxy_towers-pocharam_telangana-hyderabad-surya_constructions.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/2f90046e136b71339a18c6c42039a17a/v0/large/surya_galaxy_towers-pocharam_telangana-hyderabad-surya_constructions.jpeg', 'https://is1-3.housingcdn.com/012c1500/f7f8ce801cc939bce2b1ef92c5363403/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/182e54a7fe976bedb57fe643aeb362a8/v0/_p.jpeg']",1.48 Acres
75,Surya Galaxy Towers,"Pocharam, Near Ghatkesar, HYD, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2022",4.50 K/sq.ft,1091.00 sq.ft. - 1568.00 sq.ft.,2 Buildings - 114 units,"May, 2018","Galaxy Towers is set in the splendid Pocharam, Hyderabad and magnificently blends with the environment making it luxurious living experience for residents. Ready for possession in Mar, 2022n, this is a project is a great investment in the entire vicinity. Stunning landscape, beautiful internal roads and first-class amentias, Galaxy Towers can make a regular day feel like a vacation. The project has been offered by Surya Constructions Habsiguda. The interior as well as the exterior of the project is completed by experts and the aesthetic appeal of the project that pays special attention to details provides the residential area a wonderful setting to live peacefully. Plush and spacious residences at Galaxy Towers are scrupulously designed to radiate finesse from every angle and are enough to turn heads but its the exotic view that makes it the best in the neighborhood. These 2 and 3 BHK apartments are ideal for families looking for their home sweet home.","['https://is1-3.housingcdn.com/4f2250e8/2f90046e136b71339a18c6c42039a17a/v0/_p/surya_galaxy_towers-pocharam_telangana-hyderabad-surya_constructions.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/2f90046e136b71339a18c6c42039a17a/v0/large/surya_galaxy_towers-pocharam_telangana-hyderabad-surya_constructions.jpeg', 'https://is1-3.housingcdn.com/012c1500/f7f8ce801cc939bce2b1ef92c5363403/v0/_p.jpeg', 'https://is1-3.housingcdn.com/012c1500/182e54a7fe976bedb57fe643aeb362a8/v0/_p.jpeg']",1.48 Acres
76,Srigdha Rising East,"Korremula, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Mar, 2024",Price on request,1373.00 sq.ft. - 1994.00 sq.ft.,9 Buildings - 420 units,,"Check out this residential project for sale by Srigdha Infra Developers in Korremula, Hyderabad. Srigdha Rising East offers Apartment as property type. The project has been developed in an area of 6.38 Acres . It is currently Under Construction. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1373.0 - 1994.0 sq.ft.. Srigdha Rising East possession is Mar, 2024. Altogether, there are 420 units available. There are 9 buildings in this property. The address of Srigdha Rising East is Korremula, Pocharam.Some other provisions include access to Energy management, Landscaping & Tree Planting, Storm Water Drains, Sewage Treatment Plant, There is provision for Closed Car Parking. Come home to Srigdha Rising East.Srigdha Rising East is approved by the state regulatory authority and the RERA ID is P02200003059.Srigdha Infra Developers is a renowned developer firm.Korremula is a prime area, with many attractions work and recreational options just a drive away.",[],6.38 Acres
77,SVS Oracle,"26/P, Narapally , Ghatkesar, Chengicherla, East Hyderabad, Hyderabad","2, 3 BHK Apartments","May, 2024",4.50 K/sq.ft,279.00 sq.ft. - 386.00 sq.ft.,1 Building - 80 units,"May, 2019","Located in one of the top-most localities, Chengicherla in Hyderabad, SVS promoters offer SVS Oracle Apartments in the suburb of ORR south. Built over an area of 0.85 acres, the apartments provide minimalistic living in 2BHK+2T ranging from 279-303 sq ft in size and 3BHK+3T ranging from 375 -386 sq ft in size. Prices will be available on request. The apartments will be ready for possession from May 2024. They are fitted with modern amenities like water conservation and rainwater harvesting systems. SVS oracle offers a very convenient location as it is at a distance of approximately 3 km from Vijaya hospital. The developers have infused privacy and exclusivity in every nook and corner with carefully woven space and luxury. Located in a calm environment away from the maddening city traffic but still has smooth connectivity to the citys social amenities. SVS targets at the crme of the city to offer an elite lifestyle to the residents of their apartments.","['https://is1-3.housingcdn.com/4f2250e8/6742df900368936e71cb946ae28b37c6/v0/_p/svs_oracle-narapally-hyderabad-svs_promoters_and_developers.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/6742df900368936e71cb946ae28b37c6/v0/large/svs_oracle-narapally-hyderabad-svs_promoters_and_developers.jpeg', 'https://is1-3.housingcdn.com/012c1500/93f4e9dec0057f0286a4d509fefe0d35/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/a02fa65b5e11d169bdb1d69ecb7d5b9f/v0/_p.jpeg']",1 Acres
78,AV Magnifique,"Uppal, Naarapally, Pocharam, East Hyderabad, Hyderabad","2, 3 BHK Apartments","Dec, 2024",3.40 K/sq.ft,1205.00 sq.ft. - 2100.00 sq.ft.,2 Buildings - 350 units,,"Property for sale in Narapally, Hyderabad. This project, that is, AV Magnifique is a well designed project by AV Infracon Pvt Ltd. It is offering Under Construction units. If you are looking at Apartment, you should check out AV Magnifique. Set in an expanse of 3 Acres , the property offers a remarkable lifestyle. Available configurations include 2 BHK, 3 BHK. As per the area plan, units are in the size range of 1205.0 - 2100.0 sq.ft.. Project possession is slated for Dec, 2024. There are 2 buildings  in this project. Total number of flats at AV Magnifique is 350. AV Magnifique is located in Uppal, Naarapally, Pocharam. There are 350 units in this residential project.Come home to AV Magnifique. For families with kids, there is Children's Play Area, nearby apart from Swimming Pool. If you are passionate about sports, you will enjoy the facilities such as Skating Rink, Badminton Court, Cycling & Jogging Track. There is 24x7 Security. It is a Gated Community. There is provision for Open Car Parking. These amenities make this property totally aspirational.AV Infracon Pvt Ltd is a renowned name in the real estate space.Social infrastructure like banks, schools and parks surround Narapally area.  It is also very well-connected to various parts of the city by public transport network.","['https://is1-3.housingcdn.com/4f2250e8/4dc9f229f2f222a3402c86f89b4846fb/v0/_p/av_magnifique-narapally-hyderabad-av_infracon_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/4f2250e8/4dc9f229f2f222a3402c86f89b4846fb/v0/large/av_magnifique-narapally-hyderabad-av_infracon_pvt_ltd.jpeg', 'https://is1-3.housingcdn.com/012c1500/1ec77a74cedd8bac18bf33d3e24e7c8d/v0/_p.jpeg', 'https://is1-2.housingcdn.com/012c1500/2a1237f3bfaf4d4da981e485997e287f/v0/_p.jpeg']",3 Acres
